annual population survey
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""variable"""
"Confidence :,""95% confidence interval of percent figure (+/-)"""
"Date       :,""Jan 2016-Dec 2016"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""Economic activity rate - aged 16+"",""Conf"""

"Barking and Dagenham,""E09000002"",96900,150500,64.4,3.7"
"Barnet,""E09000003"",187700,306400,61.3,3.8"
"Bexley,""E09000004"",131200,194800,67.4,3.8"
"Brent,""E09000005"",168900,250500,67.4,3.4"
"Bromley,""E09000006"",169300,257300,65.8,3.6"
"Camden,""E09000007"",133100,202200,65.8,3.7"
"City of London,""E09000001"",4900,6100,79.4,""*"""
"Croydon,""E09000008"",207700,298800,69.5,3.4"
"Ealing,""E09000009"",183200,257700,71.1,3.6"
"Enfield,""E09000010"",161700,246600,65.6,4.0"
"Greenwich,""E09000011"",148400,214200,69.3,4.0"
"Hackney,""E09000012"",148900,217300,68.5,3.6"
"Hammersmith and Fulham,""E09000013"",105500,147800,71.4,3.7"
"Haringey,""E09000014"",151700,215800,70.3,3.4"
"Harrow,""E09000015"",128000,203400,62.9,3.7"
"Havering,""E09000016"",135700,209700,64.7,3.8"
"Hillingdon,""E09000017"",159200,233200,68.3,3.8"
"Hounslow,""E09000018"",143000,208500,68.6,4.2"
"Islington,""E09000019"",133500,195800,68.2,3.8"
"Kensington and Chelsea,""E09000020"",83400,129700,64.3,3.6"
"Kingston upon Thames,""E09000021"",92400,137900,67.0,4.0"
"Lambeth,""E09000022"",211100,268600,78.6,4.0"
"Lewisham,""E09000023"",169600,233800,72.6,3.7"
"Merton,""E09000024"",112400,164300,68.4,3.9"
"Newham,""E09000025"",185000,265300,69.7,3.5"
"Redbridge,""E09000026"",156500,233500,67.0,3.4"
"Richmond upon Thames,""E09000027"",112000,151900,73.8,3.8"
"Southwark,""E09000028"",187400,251600,74.5,3.5"
"Sutton,""E09000029"",110100,154400,71.3,3.8"
"Tower Hamlets,""E09000030"",172300,235200,73.2,3.9"
"Waltham Forest,""E09000031"",147500,210000,70.2,4.3"
"Wandsworth,""E09000032"",195200,258900,75.4,3.8"
"Westminster,""E09000033"",127300,199000,64.0,3.6"
"Column Total,""Column Total"",4760600,6910800,68.9,0.7"


"*,""Estimate and confidence interval unreliable since the group sample size is"""
",""small (3-9)"""
