borough_name,borough_code,% of all 16+ who are aged 16-19,% of all 16+ who are aged 20-24,% of all 16+ who are aged 25-34,% of all 16+ who are aged 35-49,% of all 16+ who are aged 50-64,% of all 16+ who are aged 65+,Unemployment rate - aged 16+,Male Full Time Workers - mean_hourly,Male Part Time Workers - mean_hourly,Female Full Time Workers - mean_hourly,Female Part Time Workers - mean_hourly,Full Time Workers - mean_hourly,Part Time Workers - mean_hourly,% of all people aged 16+ who are male,% of all people aged 16+ who are female,% who are economically inactive - aged 16+,Male Full Time Workers - mean_annual,Male Part Time Workers - mean_annual,Female Full Time Workers - mean_annual,Female Part Time Workers - mean_annual,Full Time Workers - mean_annual,Part Time Workers - mean_annual,Male Full Time Workers - median_weekly,Male Part Time Workers - median_weekly,Female Full Time Workers - median_weekly,Female Part Time Workers - median_weekly,Full Time Workers - median_weekly,Part Time Workers - median_weekly,% in employment working part-time - aged 16-19,% in employment working part-time - aged 20-24,% in employment working part-time - aged 25-49,% in employment working part-time - aged 50+,Male Full Time Workers - median_hourly,Male Part Time Workers - median_hourly,Female Full Time Workers - median_hourly,Female Part Time Workers - median_hourly,Full Time Workers - median_hourly,Part Time Workers - median_hourly,% with NVQ3 only - aged 16-64,% with NVQ2 only - aged 16-64,% with NVQ1 only - aged 16-64,% with NVQ4+ - aged 16-64,% with other qualifications (NVQ) - aged 16-64,% with no qualifications (NVQ) - aged 16-64,% in employment who are employees - aged 16+,% in employment who are self employed - aged 16+,Male Full Time Workers - mean_weekly,Male Part Time Workers - mean_weekly,Female Full Time Workers - mean_weekly,Female Part Time Workers - mean_weekly,Full Time Workers - mean_weekly,Part Time Workers - mean_weekly,Male Full Time Workers - median_annual,Male Part Time Workers - median_annual,Female Full Time Workers - median_annual,Female Part Time Workers - median_annual,Full Time Workers - median_annual,Part Time Workers - median_annual,% in employment working full-time - aged 16-19,% in employment working full-time - aged 20-24,% in employment working full-time - aged 25-49,% in employment working full-time - aged 50+,Economic activity rate - aged 16+
Camden,E09000007,5.1,7.8,23.3,30.3,19.1,14.4,4.7,24.56,18.21,22.34,15.88,23.54,16.87,50.3,49.7,34.2,52697,#,51607,16389,52182,17053,797.6,#,694.3,#,737.5,169.1,!,57.5,14.3,38.0,20.49,#,18.67,11.27,19.69,11.28,12.8,7.1,5.2,58.7,7.7,7.1,74.1,24.9,947.3,#,846.2,266.3,900.6,278.0,#,#,36775,#,39810,9253,!,36.5,85.4,61.1,65.8
City of London,E09000001,!,!,!,42.2,!,!,!,29.05,!,22.27,-,27.77,!,56.6,43.4,!,72481,!,39349,!,63881,!,#,!,#,-,1034.1,!,!,!,!,!,#,!,#,-,25.57,!,!,!,!,86.6,!,!,72.2,!,1163.7,!,852.2,-,1102.8,!,#,!,#,!,#,!,!,!,100.0,!,79.4
Hackney,E09000012,6.5,8.2,27.9,31.1,17.2,9.0,7.7,19.16,10.96,18.77,11.44,18.98,11.23,49.0,51.0,31.5,42898,#,38057,10163,40566,10124,611.6,144.3,620.0,153.4,613.3,149.6,86.2,30.3,26.0,28.7,15.67,8.78,16.46,9.45,15.93,9.31,9.9,9.5,9.0,54.6,8.0,8.3,81.8,17.8,745.8,195.5,710.7,191.8,729.2,193.3,#,7703,31935,#,32211,7643,!,69.7,73.7,70.3,68.5
Hammersmith and Fulham,E09000013,3.7,7.7,32.5,29.1,15.2,11.7,3.0,27.79,#,19.96,15.95,24.1,19.18,49.2,50.8,28.6,66221,#,39986,#,53749,#,775.6,#,667.0,200.7,699.1,171.7,100.0,36.8,17.3,38.6,20.70,#,17.50,10.27,18.64,10.73,16.4,5.4,4.8,60.6,5.7,6.6,81.1,18.0,1074.5,#,762.3,272.3,926.3,#,43486,#,34524,#,38009,#,!,63.2,82.7,61.4,71.4
Islington,E09000019,5.0,9.3,33.7,22.9,17.2,11.9,6.9,25.61,#,20.3,13.87,23.28,15.11,50.8,49.2,31.8,62075,#,42447,13352,53513,15344,744.8,#,614.0,183.5,713.7,202.9,79.8,49.7,13.1,26.4,19.73,#,17.49,10.48,19.05,10.38,11.7,8.5,7.0,57.8,5.7,8.8,81.9,17.3,995.1,#,759.0,240.7,889.4,268.4,38220,#,#,#,36635,#,!,50.3,85.6,72.4,68.2
Kensington and Chelsea,E09000020,4.7,5.0,19.1,32.8,21.5,16.8,8.1,43.63,#,21.97,#,32.99,16.72,49.3,50.7,35.7,#,#,#,#,#,#,#,#,670.7,#,735.0,161.2,!,39.8,17.2,35.6,#,9.19,17.21,#,18.63,9.77,12.3,7.8,5.9,62.0,6.3,5.2,69.6,29.9,1661.7,#,851.5,#,1267.2,266.8,#,#,#,#,#,#,!,60.2,82.8,62.9,64.3
Lambeth,E09000022,5.1,7.6,36.5,23.3,17.4,10.1,5.9,20.55,12.96,16.63,12.13,18.72,12.43,49.9,50.1,21.4,42758,15262,33183,12158,38434,13165,671.1,180.4,574.9,186.2,616.2,184.0,!,15.2,12.7,28.2,17.34,9.26,15.33,9.87,16.42,9.42,10.7,9.7,4.9,64.2,4.4,5.0,82.8,16.4,802.9,245.7,632.9,224.6,722.3,232.2,36021,#,30277,8693,33315,9164,!,84.8,86.8,71.8,78.6
Newham,E09000025,5.5,11.4,33.8,28.0,12.3,9.0,5.8,15.4,10.00,13.73,10.95,14.71,10.49,53.9,46.1,30.3,34800,#,26825,#,31605,10890,557.8,175.8,489.0,160.8,524.2,172.2,!,20.5,15.0,27.0,13.14,8.78,12.32,8.11,12.8,8.50,11.3,10.2,6.1,47.6,15.6,9.0,79.8,19.8,635.6,206.3,528.4,196.9,589.4,201.1,29902,#,23949,#,27773,#,!,79.5,84.7,73.0,69.7
Southwark,E09000028,3.7,9.6,30.9,29.1,16.3,10.4,7.5,20.41,11.93,18.72,13.51,19.7,13.03,49.4,50.6,25.5,44943,14168,38101,14118,41828,14132,670.7,#,616.8,188.2,643.4,181.5,78.3,53.8,18.6,26.6,17.07,9.40,16.50,10.06,16.86,9.91,12.8,8.1,5.5,59.6,7.0,6.7,82.0,17.2,807.9,228.2,713.5,247.4,767.4,241.7,36705,#,32761,10761,33975,10765,!,46.2,80.8,73.4,74.5
Tower Hamlets,E09000030,5.5,13.1,35.7,26.9,12.5,6.3,10.8,22.31,10.88,19.15,11.11,20.96,11.00,52.1,47.9,26.8,50846,#,40459,10495,46362,10922,723.3,169.7,602.4,168.4,664.7,170.2,!,37.8,18.4,24.6,19.51,8.41,16.03,9.09,17.84,8.95,14.2,9.3,5.5,52.1,9.8,8.8,86.2,12.9,859.6,192.8,716.6,188.8,797.8,190.7,38381,#,32564,8439,36089,#,!,62.2,81.0,73.7,73.2
