annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2016"""
"Item Name  :,""Median"""
"pay        :,""Annual pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - median_annual"",""Conf %"",""Male Part Time Workers - median_annual"",""Conf %"",""Female Full Time Workers - median_annual"",""Conf %"",""Female Part Time Workers - median_annual"",""Conf %"",""Full Time Workers - median_annual"",""Conf %"",""Part Time Workers - median_annual"",""Conf %"""

"Barking and Dagenham,""E09000002"",30161,5.9,""#"",""#"",25265,12.0,9314,16.0,28012,5.5,9657,12.0"
"Barnet,""E09000003"",36583,14.0,9138,18.0,31371,14.0,9570,11.0,33443,8.9,9449,8.7"
"Bexley,""E09000004"",37796,6.4,""#"",-,28761,7.6,11290,9.5,34109,5.5,""#"",""#"""
"Brent,""E09000005"",30001,16.0,10109,14.0,29062,12.0,8725,12.0,29589,9.7,9478,9.0"
"Bromley,""E09000006"",42246,5.9,""#"",-,32473,7.5,11577,20.0,37657,4.9,""#"",""#"""
"Camden,""E09000007"",""#"",""#"",""#"",""#"",36775,18.0,""#"",""#"",39810,16.0,9253,20.0"
"City of London,""E09000001"",""#"",-,""!"",""!"",""#"",-,""!"",""!"",""#"",""#"",""!"",""!"""
"Croydon,""E09000008"",35771,6.5,12007,16.0,29688,10.0,""#"",""#"",32523,6.0,10703,19.0"
"Ealing,""E09000009"",32072,17.0,""#"",""#"",29778,9.9,9775,12.0,31237,9.3,9739,14.0"
"Enfield,""E09000010"",34224,8.6,8148,19.0,29200,8.1,9893,11.0,30843,6.7,8447,8.4"
"Greenwich,""E09000011"",35559,14.0,""#"",-,30310,7.9,10929,14.0,32433,8.8,""#"",""#"""
"Hackney,""E09000012"",""#"",""#"",7703,18.0,31935,5.9,""#"",""#"",32211,13.0,7643,12.0"
"Hammersmith and Fulham,""E09000013"",43486,11.0,""#"",""#"",34524,7.4,""#"",""#"",38009,6.6,""#"",""#"""
"Haringey,""E09000014"",""#"",""#"",""#"",-,29013,17.0,11355,16.0,30754,12.0,10952,11.0"
"Harrow,""E09000015"",""#"",""#"",""#"",""#"",29500,18.0,11462,11.0,33400,14.0,10768,8.6"
"Havering,""E09000016"",36076,7.3,""#"",""#"",27825,8.9,11821,14.0,33234,5.2,10928,14.0"
"Hillingdon,""E09000017"",36148,11.0,8676,19.0,28760,10.0,11172,15.0,33500,9.7,10420,11.0"
"Hounslow,""E09000018"",32038,8.5,""#"",""#"",26978,11.0,9252,13.0,30901,5.6,9457,13.0"
"Islington,""E09000019"",38220,11.0,""#"",""#"",""#"",""#"",""#"",""#"",36635,14.0,""#"",""#"""
"Kensington and Chelsea,""E09000020"",""#"",-,""#"",""#"",""#"",""#"",""#"",""#"",""#"",""#"",""#"",""#"""
"Kingston upon Thames,""E09000021"",41764,9.0,""#"",""#"",33741,9.9,10349,19.0,38034,6.7,10277,16.0"
"Lambeth,""E09000022"",36021,8.9,""#"",""#"",30277,7.8,8693,16.0,33315,6.0,9164,14.0"
"Lewisham,""E09000023"",""#"",""#"",""#"",-,31816,4.8,10669,14.0,33080,9.7,""#"",""#"""
"Merton,""E09000024"",""#"",""#"",""#"",""#"",30722,19.0,""#"",-,34011,14.0,""#"",""#"""
"Newham,""E09000025"",29902,12.0,""#"",-,23949,8.1,""#"",-,27773,8.2,""#"",""#"""
"Redbridge,""E09000026"",39311,7.9,""#"",""#"",29275,7.6,10428,17.0,33742,7.0,9892,14.0"
"Richmond upon Thames,""E09000027"",""#"",-,""#"",-,38498,9.7,""#"",-,42068,7.2,""#"",-"
"Southwark,""E09000028"",36705,17.0,""#"",""#"",32761,7.4,10761,14.0,33975,9.5,10765,15.0"
"Sutton,""E09000029"",36690,8.0,""#"",""#"",28442,7.8,""#"",""#"",32723,5.6,""#"",""#"""
"Tower Hamlets,""E09000030"",38381,15.0,""#"",-,32564,13.0,8439,14.0,36089,11.0,""#"",""#"""
"Waltham Forest,""E09000031"",32505,7.2,""#"",-,""#"",""#"",10886,11.0,30746,8.6,10357,15.0"
"Wandsworth,""E09000032"",47659,20.0,""#"",""#"",36434,6.8,14772,15.0,41325,7.5,14315,12.0"
"Westminster,""E09000033"",46594,7.3,""#"",""#"",38870,9.4,""#"",-,41729,7.5,""#"",-"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
