annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2016"""
"Item Name  :,""Median"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - median_hourly"",""Conf %"",""Male Part Time Workers - median_hourly"",""Conf %"",""Female Full Time Workers - median_hourly"",""Conf %"",""Female Part Time Workers - median_hourly"",""Conf %"",""Full Time Workers - median_hourly"",""Conf %"",""Part Time Workers - median_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",13.47,6.3,8.05,8.7,14.33,8.7,8.95,6.0,13.71,5.0,8.66,5.0"
"Barnet,""E09000003"",16.60,9.5,9.23,7.2,16.37,6.0,10.34,5.6,16.58,4.8,9.99,4.8"
"Bexley,""E09000004"",18.22,7.0,10.36,16.0,15.68,5.8,9.99,6.7,16.68,4.1,10.00,6.5"
"Brent,""E09000005"",13.50,5.4,8.35,6.2,13.42,6.2,8.64,4.1,13.48,4.0,8.56,3.6"
"Bromley,""E09000006"",19.71,5.1,""#"",""#"",17.22,5.6,10.90,8.4,18.40,3.6,11.03,6.9"
"Camden,""E09000007"",20.49,10.0,""#"",""#"",18.67,8.0,11.27,12.0,19.69,6.4,11.28,9.4"
"City of London,""E09000001"",""#"",""#"",""!"",""!"",""#"",-,-,-,25.57,20.0,""!"",""!"""
"Croydon,""E09000008"",16.22,5.4,9.36,8.3,15.11,4.8,9.86,5.1,15.52,3.6,9.59,3.8"
"Ealing,""E09000009"",14.41,5.3,9.03,14.0,15.50,6.1,9.53,5.6,14.73,4.1,9.39,4.8"
"Enfield,""E09000010"",14.95,8.6,7.96,6.9,14.81,8.0,9.23,6.1,14.95,5.5,8.91,4.9"
"Greenwich,""E09000011"",16.74,5.6,8.98,13.0,15.08,6.4,9.93,9.5,15.89,3.9,9.59,8.3"
"Hackney,""E09000012"",15.67,6.7,8.78,11.0,16.46,5.5,9.45,6.8,15.93,3.9,9.31,4.8"
"Hammersmith and Fulham,""E09000013"",20.70,9.4,""#"",""#"",17.50,6.8,10.27,14.0,18.64,5.6,10.73,13.0"
"Haringey,""E09000014"",15.21,5.4,""#"",""#"",14.32,6.5,10.00,12.0,14.77,3.8,9.67,9.1"
"Harrow,""E09000015"",18.56,7.4,9.40,15.0,15.62,6.3,10.16,8.5,16.75,5.0,10.00,7.3"
"Havering,""E09000016"",16.22,6.3,9.98,16.0,15.32,7.3,10.92,6.6,15.85,4.6,10.17,6.7"
"Hillingdon,""E09000017"",15.96,5.9,8.66,7.4,14.06,5.6,10.04,7.7,15.09,3.8,9.70,6.4"
"Hounslow,""E09000018"",15.21,6.2,9.64,13.0,14.00,7.4,9.30,5.8,14.88,4.5,9.40,6.2"
"Islington,""E09000019"",19.73,8.6,""#"",""#"",17.49,5.8,10.48,6.8,19.05,4.7,10.38,6.9"
"Kensington and Chelsea,""E09000020"",""#"",""#"",9.19,12.0,17.21,7.5,""#"",""#"",18.63,10.0,9.77,17.0"
"Kingston upon Thames,""E09000021"",20.42,9.1,""#"",""#"",16.32,9.9,10.25,8.2,17.94,7.5,10.66,12.0"
"Lambeth,""E09000022"",17.34,5.4,9.26,6.7,15.33,4.1,9.87,8.2,16.42,3.0,9.42,6.1"
"Lewisham,""E09000023"",16.17,6.8,9.37,13.0,16.16,5.6,9.96,5.4,16.17,4.2,9.95,5.1"
"Merton,""E09000024"",17.92,7.6,7.86,7.0,15.61,7.5,9.95,14.0,17.01,5.3,8.62,9.6"
"Newham,""E09000025"",13.14,5.6,8.78,6.3,12.32,7.2,8.11,4.8,12.80,4.4,8.50,3.7"
"Redbridge,""E09000026"",17.70,8.0,9.61,13.0,14.12,6.4,10.75,9.8,15.98,5.9,10.10,8.0"
"Richmond upon Thames,""E09000027"",21.68,8.3,""#"",""#"",18.46,11.0,14.63,17.0,20.44,7.4,14.91,16.0"
"Southwark,""E09000028"",17.07,6.2,9.40,11.0,16.50,5.8,10.06,5.9,16.86,4.2,9.91,5.0"
"Sutton,""E09000029"",17.88,6.1,11.13,15.0,14.81,6.3,9.57,7.0,16.62,4.4,10.43,5.8"
"Tower Hamlets,""E09000030"",19.51,5.9,8.41,11.0,16.03,5.9,9.09,6.4,17.84,5.0,8.95,5.4"
"Waltham Forest,""E09000031"",15.29,4.9,8.61,19.0,13.51,7.1,9.90,7.7,14.38,4.3,9.42,5.9"
"Wandsworth,""E09000032"",22.87,7.8,11.34,15.0,18.96,4.7,12.35,12.0,20.42,3.5,12.35,10.0"
"Westminster,""E09000033"",21.59,7.8,""#"",""#"",18.66,6.7,10.62,10.0,20.16,5.7,10.33,10.0"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
