
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2016-Dec 2016"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% of all 16+ who are aged 16-19","Conf","Numerator","Denominator","% of all 16+ who are aged 20-24","Conf","Numerator","Denominator","% of all 16+ who are aged 25-34","Conf","Numerator","Denominator","% of all 16+ who are aged 35-49","Conf","Numerator","Denominator","% of all 16+ who are aged 50-64","Conf","Numerator","Denominator","% of all 16+ who are aged 65+","Conf"

"Barking and Dagenham","E09000002",10600,150500,7.1,2.0,12200,150500,8.1,2.1,32400,150500,21.5,3.2,44400,150500,29.5,3.5,31600,150500,21.0,3.1,19400,150500,12.9,2.6
"Barnet","E09000003",20800,306400,6.8,2.0,20300,306400,6.6,1.9,58100,306400,18.9,3.1,79900,306400,26.1,3.4,71600,306400,23.4,3.3,55700,306400,18.2,3.0
"Bexley","E09000004",12500,194800,6.4,2.0,12500,194800,6.4,2.0,30600,194800,15.7,2.9,54300,194800,27.9,3.6,46600,194800,23.9,3.4,38300,194800,19.7,3.2
"Brent","E09000005",17500,250500,7.0,1.8,20000,250500,8.0,1.9,53500,250500,21.4,2.9,81900,250500,32.7,3.4,45300,250500,18.1,2.8,32400,250500,12.9,2.4
"Bromley","E09000006",10000,257300,3.9,1.5,18900,257300,7.4,2.0,44800,257300,17.4,2.9,74100,257300,28.8,3.4,54300,257300,21.1,3.1,55100,257300,21.4,3.1
"Camden","E09000007",10400,202200,5.1,1.7,15700,202200,7.8,2.1,47000,202200,23.3,3.3,61200,202200,30.3,3.6,38700,202200,19.1,3.1,29200,202200,14.4,2.8
"City of London","E09000001","!",6100,"!","!","!",6100,"!","!","!",6100,"!","!","#",6100,42.2,"*","!",6100,"!","!","!",6100,"!","!"
"Croydon","E09000008",19600,298800,6.6,1.8,14500,298800,4.9,1.6,63100,298800,21.1,3.0,80900,298800,27.1,3.3,67300,298800,22.5,3.1,53300,298800,17.8,2.8
"Ealing","E09000009",10000,257700,3.9,1.5,23100,257700,9.0,2.3,66000,257700,25.6,3.4,74800,257700,29.0,3.6,50600,257700,19.7,3.1,33000,257700,12.8,2.6
"Enfield","E09000010",16700,246600,6.8,2.1,16900,246600,6.9,2.1,41700,246600,16.9,3.1,81300,246600,33.0,3.9,55100,246600,22.4,3.5,34700,246600,14.1,2.9
"Greenwich","E09000011",15100,214200,7.0,2.2,15900,214200,7.4,2.3,49100,214200,22.9,3.7,60600,214200,28.3,3.9,44100,214200,20.6,3.5,29400,214200,13.7,3.0
"Hackney","E09000012",14100,217300,6.5,1.9,17900,217300,8.2,2.1,60700,217300,27.9,3.5,67600,217300,31.1,3.6,37400,217300,17.2,2.9,19600,217300,9.0,2.2
"Hammersmith and Fulham","E09000013",5500,147800,3.7,1.6,11300,147800,7.7,2.2,48100,147800,32.5,3.8,43000,147800,29.1,3.7,22500,147800,15.2,3.0,17400,147800,11.7,2.6
"Haringey","E09000014",10400,215800,4.8,1.6,21100,215800,9.8,2.2,60000,215800,27.8,3.3,61000,215800,28.3,3.3,39500,215800,18.3,2.9,23700,215800,11.0,2.3
