
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2016-Dec 2016"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment working full-time - aged 16-19","Conf","Numerator","Denominator","% in employment working full-time - aged 20-24","Conf","Numerator","Denominator","% in employment working full-time - aged 25-49","Conf","Numerator","Denominator","% in employment working full-time - aged 50+","Conf"

"Barking and Dagenham","E09000002",1300,1800,69.1,"*",4000,6000,65.9,20.8,42800,57700,74.3,5.5,17900,24200,73.8,8.1
"Barnet","E09000003","!",2900,"!","!",8700,10000,87.1,17.6,89800,114100,78.7,5.4,42500,54200,78.4,7.4
"Bexley","E09000004",1300,5100,26.1,"*",6900,9200,75.7,18.8,59000,73100,80.8,5.3,25500,38500,66.4,8.3
"Brent","E09000005","!",3400,"!","!",10700,13700,78.0,15.1,80300,102800,78.1,4.7,26400,36200,73.0,7.9
"Bromley","E09000006","!",3200,"!","!",10800,12400,87.1,14.0,81100,103100,78.6,5.0,31000,43400,71.6,7.9
"Camden","E09000007","!",800,"!","!",1800,4900,36.5,"*",75300,88200,85.4,4.5,20100,32900,61.1,9.0
"City of London","E09000001","!","!","!",-,"!","!","!",-,3500,3500,100.0,-,"!","!","!","!"
"Croydon","E09000008",2700,5500,49.7,"*",9100,12300,74.3,17.9,96500,121600,79.4,4.9,40200,56500,71.2,7.4
"Ealing","E09000009","!",1100,"!","!",11300,14600,77.3,16.7,89300,114600,78.0,5.0,30400,41800,72.8,8.2
"Enfield","E09000010","!",5000,"!","!",5400,9000,59.5,"*",68700,95500,72.0,6.0,31300,43000,72.9,8.7
"Greenwich","E09000011","!",4000,"!","!",8400,11600,72.2,19.6,72500,88100,82.3,5.3,25300,34100,74.3,9.2
"Hackney","E09000012","!",3600,"!","!",5500,7900,69.7,22.5,74700,101400,73.7,5.3,17100,24400,70.3,10.0
"Hammersmith and Fulham","E09000013","!",600,"!","!",4300,6800,63.2,18.2,64300,77800,82.7,4.8,10500,17100,61.4,10.3
"Haringey","E09000014","!",2500,"!","!",7600,12000,63.3,18.9,76700,99000,77.5,4.9,20500,31400,65.3,8.3
"Harrow","E09000015","!",1600,"!","!",4600,8400,54.6,22.4,66300,77300,85.8,4.6,20400,32900,61.8,8.8
"Havering","E09000016",1400,2500,54.5,"*",12300,13500,90.8,10.0,60900,74300,81.9,5.3,25700,39900,64.5,8.6
"Hillingdon","E09000017","!",4800,"!","!",6800,11600,58.9,22.1,75700,90600,83.6,5.0,34700,46200,75.2,7.7
"Hounslow","E09000018","!",2600,"!","!",8900,11800,75.0,19.0,68000,88000,77.3,6.0,27100,33200,81.8,8.7
"Islington","E09000019","!",1500,"!","!",5900,11700,50.3,20.9,73200,85500,85.6,4.5,18600,25700,72.4,9.4
"Kensington and Chelsea","E09000020","!",700,"!","!",1300,2200,60.2,"*",41600,50200,82.8,5.2,14800,23600,62.9,7.8
"Kingston upon Thames","E09000021",800,2900,29.4,"*",6000,8800,67.7,18.0,38200,50900,75.1,6.3,15900,25800,61.4,9.1
"Lambeth","E09000022","!",2000,"!","!",13700,16200,84.8,19.5,125300,144300,86.8,4.7,26000,36200,71.8,10.9
"Lewisham","E09000023",1200,3600,34.6,"*",9300,12800,73.0,18.1,90100,109200,82.4,4.9,22700,32700,69.4,9.5
"Merton","E09000024","!",1000,"!","!",8700,11700,74.4,15.4,55900,71100,78.6,5.4,17800,24900,71.4,9.2
"Newham","E09000025","!",1000,"!","!",16700,21100,79.5,12.8,108500,128000,84.7,4.1,17600,24100,73.0,10.5
"Redbridge","E09000026","!",1000,"!","!",11100,14600,76.3,14.5,73300,94000,77.9,4.8,27700,37600,73.5,7.6
"Richmond upon Thames","E09000027",900,1500,60.7,"*",5400,6000,90.0,14.7,49800,63000,79.0,5.6,23100,35700,64.6,8.2
"Southwark","E09000028","!",1900,"!","!",6400,13900,46.2,20.4,99800,123500,80.8,4.7,25000,34100,73.4,8.7
"Sutton","E09000029",1300,3800,33.5,"*",4600,6200,74.3,20.8,52000,66000,78.7,5.5,21100,29700,71.0,8.1
"Tower Hamlets","E09000030","!",1300,"!","!",11900,19200,62.2,17.1,92600,114200,81.0,5.1,14000,19100,73.7,12.6
"Waltham Forest","E09000031",1500,3000,49.7,"*",9400,11100,85.0,18.1,80100,98000,81.7,5.3,22600,27400,82.3,9.3
"Wandsworth","E09000032","!",1400,"!","!",10200,12600,81.3,17.1,124900,142200,87.8,4.1,24300,32700,74.5,10.1
"Westminster","E09000033","!",1000,"!","!",6600,9800,67.5,16.5,68300,77000,88.7,4.2,22600,31400,71.8,8.0
"Column Total","Column Total",20800,78400,26.6,5.9,254300,353300,72.0,3.2,2419000,2988000,81.0,0.9,761500,1072000,71.0,1.5


"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

"-","These figures are missing."

