
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2016-Dec 2016"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% with NVQ3 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ2 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ1 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ4+ - aged 16-64","Conf","Numerator","Denominator","% with other qualifications (NVQ) - aged 16-64","Conf","Numerator","Denominator","% with no qualifications (NVQ) - aged 16-64","Conf"

"Barking and Dagenham","E09000002",17400,131100,13.3,4.4,21100,131100,16.1,4.8,14000,131100,10.7,4.0,43500,131100,33.2,6.1,14300,131100,10.9,4.1,19400,131100,14.8,4.6
"Barnet","E09000003",30500,249800,12.2,4.6,28800,249800,11.5,4.5,20100,249800,8.1,3.8,139100,249800,55.7,7.0,15900,249800,6.3,3.4,14000,249800,5.6,3.2
"Bexley","E09000004",29100,155400,18.8,5.6,26900,155400,17.3,5.4,19500,155400,12.5,4.8,57000,155400,36.7,6.9,7500,155400,4.8,3.1,10500,155400,6.8,3.6
"Brent","E09000005",32000,217900,14.7,4.4,26600,217900,12.2,4.0,20400,217900,9.4,3.6,97500,217900,44.8,6.1,27100,217900,12.4,4.1,13700,217900,6.3,3.0
"Bromley","E09000006",31500,201900,15.6,5.0,23900,201900,11.8,4.4,20300,201900,10.0,4.1,98800,201900,48.9,6.9,14200,201900,7.1,3.5,7200,201900,3.6,2.5
"Camden","E09000007",22100,172800,12.8,4.6,12200,172800,7.1,3.5,9000,172800,5.2,3.1,101400,172800,58.7,6.8,13300,172800,7.7,3.7,12200,172800,7.1,3.5
"City of London","E09000001","!",6100,"!","!","!",6100,"!","!","!",6100,"!","!",5300,6100,86.6,"*","!",6100,"!","!","!",6100,"!","!"
"Croydon","E09000008",34900,245100,14.2,4.6,33300,245100,13.6,4.5,18900,245100,7.7,3.5,117300,245100,47.8,6.5,21700,245100,8.8,3.7,15600,245100,6.4,3.2
"Ealing","E09000009",29300,224300,13.1,4.5,14600,224300,6.5,3.3,22600,224300,10.1,4.0,125400,224300,55.9,6.7,16100,224300,7.2,3.5,14000,224300,6.2,3.2
"Enfield","E09000010",31800,211300,15.0,5.1,35000,211300,16.6,5.3,19800,211300,9.4,4.2,87600,211300,41.4,7.1,16300,211300,7.7,3.8,16600,211300,7.9,3.9
"Greenwich","E09000011",28000,184400,15.2,5.4,26000,184400,14.1,5.2,15400,184400,8.4,4.1,84600,184400,45.9,7.5,17000,184400,9.2,4.3,11500,184400,6.3,3.6
"Hackney","E09000012",19500,196700,9.9,3.9,18700,196700,9.5,3.8,17700,196700,9.0,3.8,107400,196700,54.6,6.5,15700,196700,8.0,3.5,16300,196700,8.3,3.6
"Hammersmith and Fulham","E09000013",21300,130200,16.4,5.3,7000,130200,5.4,3.2,6300,130200,4.8,3.1,78800,130200,60.6,7.0,7400,130200,5.7,3.3,8500,130200,6.6,3.6
"Haringey","E09000014",24600,191900,12.8,4.3,13900,191900,7.2,3.3,11200,191900,5.8,3.0,100300,191900,52.3,6.4,23500,191900,12.3,4.2,16800,191900,8.8,3.6
"Harrow","E09000015",35900,157900,22.7,6.0,17200,157900,10.9,4.4,8900,157900,5.7,3.3,70500,157900,44.6,7.1,18100,157900,11.5,4.5,4400,157900,2.8,2.3
"Havering","E09000016",26600,158600,16.8,5.5,31100,158600,19.6,5.9,27800,158600,17.5,5.6,44300,158600,27.9,6.6,10600,158600,6.7,3.7,12800,158600,8.1,4.0
"Hillingdon","E09000017",25200,193900,13.0,4.9,30000,193900,15.5,5.2,19400,193900,10.0,4.3,86200,193900,44.4,7.2,17700,193900,9.1,4.2,10800,193900,5.5,3.3
"Hounslow","E09000018",21500,178300,12.1,5.1,19200,178300,10.8,4.9,12700,178300,7.1,4.1,88700,178300,49.8,7.9,21300,178300,11.9,5.1,12200,178300,6.8,4.0
"Islington","E09000019",20200,172500,11.7,4.5,14700,172500,8.5,3.9,12100,172500,7.0,3.6,99600,172500,57.8,6.9,9900,172500,5.7,3.2,15100,172500,8.8,4.0
"Kensington and Chelsea","E09000020",13300,107700,12.3,4.6,8400,107700,7.8,3.7,6400,107700,5.9,3.3,66700,107700,62.0,6.7,6800,107700,6.3,3.4,5600,107700,5.2,3.1
"Kingston upon Thames","E09000021",21700,115500,18.8,5.8,10500,115500,9.1,4.3,7000,115500,6.0,3.6,61900,115500,53.6,7.5,7700,115500,6.7,3.7,5500,115500,4.7,3.2
"Lambeth","E09000022",25900,241600,10.7,5.1,23500,241600,9.7,4.9,11800,241600,4.9,3.5,155000,241600,64.2,7.9,10500,241600,4.4,3.3,12000,241600,5.0,3.6
"Lewisham","E09000023",30000,208000,14.4,5.0,26300,208000,12.7,4.7,18500,208000,8.9,4.0,105900,208000,50.9,7.1,10600,208000,5.1,3.1,13100,208000,6.3,3.5
"Merton","E09000024",19500,137300,14.2,5.2,11200,137300,8.2,4.1,8400,137300,6.1,3.5,83000,137300,60.5,7.2,6000,137300,4.4,3.0,7800,137300,5.7,3.4
"Newham","E09000025",27300,241400,11.3,4.1,24600,241400,10.2,3.9,14700,241400,6.1,3.1,114800,241400,47.6,6.4,37700,241400,15.6,4.7,21800,241400,9.0,3.7
"Redbridge","E09000026",29300,194800,15.1,4.5,24800,194800,12.7,4.2,10200,194800,5.3,2.8,94600,194800,48.6,6.3,16400,194800,8.4,3.5,17600,194800,9.0,3.6
