annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Mean"""
"pay        :,""Annual pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_annual"",""Conf %"",""Male Part Time Workers - mean_annual"",""Conf %"",""Female Full Time Workers - mean_annual"",""Conf %"",""Female Part Time Workers - mean_annual"",""Conf %"",""Full Time Workers - mean_annual"",""Conf %"",""Part Time Workers - mean_annual"",""Conf %"""

"Barking and Dagenham,""E09000002"",33482,7.5,10873,12.0,30000,8.0,8884,10.0,32087,5.4,9441,7.9"
"Barnet,""E09000003"",56269,7.2,""#"",""#"",38023,6.7,14044,12.0,47862,5.3,13510,12.0"
"Bexley,""E09000004"",45595,7.4,""#"",""#"",35303,7.1,12088,9.2,40946,5.3,12502,9.4"
"Brent,""E09000005"",39010,6.6,11649,12.0,33207,7.7,12788,16.0,36648,5.1,12412,12.0"
"Bromley,""E09000006"",59831,9.0,""#"",""#"",42960,7.4,14849,9.6,52086,6.6,15961,10.0"
"Camden,""E09000007"",71499,18.0,""#"",""#"",49567,11.0,17131,18.0,62525,13.0,16555,14.0"
"City of London,""E09000001"",""#"",""#"",-,-,47173,17.0,-,-,70179,19.0,-,-"
"Croydon,""E09000008"",43024,6.1,11704,14.0,33624,5.5,12184,7.8,38991,4.5,12041,7.0"
"Ealing,""E09000009"",42186,4.9,""#"",""#"",37173,14.0,""#"",""#"",40190,5.8,13801,20.0"
"Enfield,""E09000010"",42154,7.1,10321,12.0,33263,7.3,11352,11.0,38173,5.1,10974,8.4"
"Greenwich,""E09000011"",46494,8.1,11573,14.0,43382,18.0,12235,8.5,45171,8.8,12074,7.3"
"Hackney,""E09000012"",46356,8.0,11884,17.0,42385,7.7,""#"",""#"",44572,5.7,12201,14.0"
"Hammersmith and Fulham,""E09000013"",74164,14.0,""#"",""#"",45177,11.0,14393,20.0,61546,10.0,13374,17.0"
"Haringey,""E09000014"",46321,12.0,12266,19.0,36233,5.8,17145,12.0,41756,7.4,15783,10.0"
"Harrow,""E09000015"",46854,7.0,""#"",""#"",34659,12.0,14139,9.8,41901,6.5,13167,9.9"
"Havering,""E09000016"",40875,5.2,""#"",""#"",32305,7.2,14599,11.0,37762,4.1,15963,11.0"
"Hillingdon,""E09000017"",37383,4.1,""#"",""#"",31815,4.0,14619,11.0,34984,3.0,14765,12.0"
"Hounslow,""E09000018"",""#"",""#"",14354,20.0,34007,6.3,13028,16.0,41805,14.0,13377,13.0"
"Islington,""E09000019"",62177,12.0,14406,20.0,44925,7.9,12169,14.0,54068,8.1,12907,12.0"
"Kensington and Chelsea,""E09000020"",""#"",""#"",""#"",""#"",55249,16.0,9660,17.0,""#"",""#"",""#"",""#"""
"Kingston upon Thames,""E09000021"",56811,12.0,""#"",""#"",35894,5.9,11524,12.0,48294,9.0,14540,18.0"
"Lambeth,""E09000022"",51190,7.2,""#"",""#"",36093,6.2,12751,12.0,43981,5.3,14131,11.0"
"Lewisham,""E09000023"",43163,6.6,11057,15.0,36641,5.0,15383,11.0,39986,4.3,14180,8.6"
"Merton,""E09000024"",54397,9.3,""#"",""#"",39812,7.9,15038,14.0,48409,6.5,15404,15.0"
"Newham,""E09000025"",34850,5.3,9972,8.2,28638,4.4,10172,15.0,32350,3.8,10088,9.2"
"Redbridge,""E09000026"",45947,6.1,""#"",""#"",33953,9.1,14977,14.0,41816,5.2,14102,17.0"
"Richmond upon Thames,""E09000027"",88845,17.0,""#"",""#"",46833,9.9,20946,13.0,73692,14.0,20857,12.0"
"Southwark,""E09000028"",48134,18.0,13784,17.0,39402,4.9,14492,12.0,43854,11.0,14281,9.8"
"Sutton,""E09000029"",42446,5.9,10960,16.0,32791,10.0,12214,9.3,38653,5.0,11905,8.0"
"Tower Hamlets,""E09000030"",59077,8.3,12970,12.0,40526,6.1,12280,11.0,51669,6.1,12600,8.2"
"Waltham Forest,""E09000031"",40453,5.3,""#"",""#"",33675,6.3,12731,10.0,38019,4.1,11929,13.0"
"Wandsworth,""E09000032"",71479,11.0,""#"",""#"",46128,8.8,24056,16.0,60051,7.7,21032,13.0"
"Westminster,""E09000033"",""#"",""#"",""#"",""#"",54470,18.0,""#"",""#"",87207,18.0,""#"",""#"""
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
