annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Mean"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_hourly"",""Conf %"",""Male Part Time Workers - mean_hourly"",""Conf %"",""Female Full Time Workers - mean_hourly"",""Conf %"",""Female Part Time Workers - mean_hourly"",""Conf %"",""Full Time Workers - mean_hourly"",""Conf %"",""Part Time Workers - mean_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",15.52,4.5,9.76,5.9,15.26,5.8,10.87,5.5,15.42,3.5,10.49,4.3"
"Barnet,""E09000003"",24.28,4.9,11.18,7.7,18.57,3.8,14.85,5.7,21.74,3.4,13.63,4.8"
"Bexley,""E09000004"",20.09,4.8,14.86,11.0,17.31,4.1,12.61,5.6,18.85,3.3,13.16,5.1"
"Brent,""E09000005"",16.66,4.3,10.66,7.1,16.04,4.1,11.30,4.6,16.42,3.1,11.09,3.9"
"Bromley,""E09000006"",26.28,4.7,""#"",""#"",20.26,4.2,14.95,7.7,23.42,3.3,16.16,8.1"
"Camden,""E09000007"",27.78,6.6,16.67,17.0,22.65,6.5,17.15,9.7,25.64,4.9,16.95,8.9"
"City of London,""E09000001"",33.75,13.0,-,-,22.79,12.0,""!"",""!"",30.63,11.0,""!"",""!"""
"Croydon,""E09000008"",19.83,3.6,12.15,7.8,17.30,3.1,13.34,5.9,18.75,2.5,12.95,4.8"
"Ealing,""E09000009"",18.63,3.7,14.96,16.0,18.18,5.7,13.51,6.0,18.46,3.1,14.01,7.0"
"Enfield,""E09000010"",19.51,4.4,9.65,6.4,17.13,4.6,12.64,6.9,18.47,3.2,11.45,5.2"
"Greenwich,""E09000011"",21.79,5.6,11.00,7.4,19.12,6.0,13.67,5.5,20.70,4.2,12.84,4.5"
"Hackney,""E09000012"",20.35,4.6,12.79,13.0,19.64,4.2,12.11,6.0,20.03,3.2,12.39,6.4"
"Hammersmith and Fulham,""E09000013"",27.62,8.5,15.15,16.0,21.47,6.6,14.58,9.1,24.80,5.7,14.72,8.0"
"Haringey,""E09000014"",20.80,5.9,12.19,13.0,17.77,3.9,14.94,7.2,19.48,3.9,14.14,6.4"
"Harrow,""E09000015"",21.56,5.4,11.83,8.1,17.62,5.2,13.75,6.4,19.94,4.0,13.15,5.2"
"Havering,""E09000016"",18.82,4.2,15.07,17.0,16.74,4.6,15.19,8.0,18.09,3.2,15.16,7.4"
"Hillingdon,""E09000017"",17.05,3.2,13.27,16.0,16.37,3.2,13.15,7.0,16.78,2.3,13.19,7.0"
"Hounslow,""E09000018"",21.21,14.0,12.93,13.0,16.75,4.7,12.53,7.1,19.42,9.1,12.65,6.3"
"Islington,""E09000019"",25.46,5.3,14.95,14.0,21.64,4.7,14.06,7.5,23.67,3.7,14.37,7.0"
"Kensington and Chelsea,""E09000020"",52.08,14.0,""#"",""#"",27.64,11.0,15.60,15.0,41.46,11.0,18.61,15.0"
"Kingston upon Thames,""E09000021"",23.64,7.3,""#"",""#"",18.22,4.8,13.37,8.6,21.46,5.2,15.48,11.0"
"Lambeth,""E09000022"",22.72,4.3,13.93,11.0,18.51,2.9,13.73,8.8,20.69,2.8,13.80,6.9"
"Lewisham,""E09000023"",20.83,4.3,10.98,7.9,18.19,3.6,15.49,5.6,19.59,2.9,14.37,4.9"
"Merton,""E09000024"",23.10,5.2,""#"",""#"",19.57,4.7,13.05,7.1,21.62,3.7,13.93,9.4"
"Newham,""E09000025"",16.63,4.2,10.63,5.8,15.60,3.9,11.15,6.8,16.23,3.0,10.90,4.5"
"Redbridge,""E09000026"",21.97,4.4,11.88,13.0,17.30,5.7,13.69,6.5,20.31,3.6,13.19,5.9"
"Richmond upon Thames,""E09000027"",31.81,7.8,21.51,18.0,21.37,6.4,19.39,9.0,27.87,6.0,19.98,8.2"
"Southwark,""E09000028"",22.15,4.6,12.97,9.8,20.41,3.6,15.12,8.3,21.35,3.0,14.40,6.5"
"Sutton,""E09000029"",19.90,4.0,12.20,7.9,17.10,4.4,12.81,6.0,18.78,3.1,12.66,4.9"
"Tower Hamlets,""E09000030"",25.37,4.3,11.51,8.9,19.37,3.9,13.58,8.6,22.90,3.2,12.46,6.3"
"Waltham Forest,""E09000031"",18.79,4.3,10.82,8.3,16.10,4.2,12.80,6.3,17.82,3.2,12.22,5.2"
"Wandsworth,""E09000032"",27.16,4.5,17.32,15.0,22.17,3.6,18.57,11.0,24.85,3.0,18.20,8.8"
"Westminster,""E09000033"",35.17,9.2,""#"",""#"",24.35,8.8,13.24,8.8,30.68,6.9,""#"",""#"""
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
