annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Mean"""
"pay        :,""Weekly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers  - mean_weekly"",""Conf %"",""Male Part Time Workers  - mean_weekly"",""Conf %"",""Female Full Time Workers  - mean_weekly"",""Conf %"",""Female Part Time Workers  - mean_weekly"",""Conf %"",""Full Time Workers  - mean_weekly"",""Conf %"",""Part Time Workers  - mean_weekly"",""Conf %"""

"Barking and Dagenham,""E09000002"",650.5,4.1,192.9,8.7,584.2,5.7,183.2,7.6,623.5,3.3,186.1,5.9"
"Barnet,""E09000003"",957.0,4.6,209.7,8.7,694.6,3.7,241.5,7.0,836.8,3.3,232.0,5.7"
"Bexley,""E09000004"",817.5,4.6,243.1,13.0,646.8,3.8,226.2,7.1,737.4,3.2,230.7,6.3"
"Brent,""E09000005"",677.7,3.7,200.3,8.7,609.5,3.9,208.1,6.3,650.6,2.7,205.6,5.1"
"Bromley,""E09000006"",1023.6,4.5,""#"",""#"",756.6,4.2,273.1,7.9,894.1,3.3,299.3,8.3"
"Camden,""E09000007"",1057.6,6.4,289.9,19.0,861.9,6.2,287.3,12.0,975.9,4.7,288.3,11.0"
"City of London,""E09000001"",1261.2,12.0,-,-,840.8,11.0,""!"",""!"",1140.5,10.0,""!"",""!"""
"Croydon,""E09000008"",791.6,3.4,219.1,9.6,645.1,3.0,245.6,6.8,726.8,2.4,236.9,5.6"
"Ealing,""E09000009"",753.9,3.5,260.8,17.0,685.5,5.6,246.4,7.3,727.3,3.0,251.5,7.9"
"Enfield,""E09000010"",783.1,4.2,170.2,9.3,646.8,4.3,213.6,8.4,721.6,3.1,196.7,6.4"
"Greenwich,""E09000011"",862.1,5.4,226.8,11.0,725.0,5.8,251.9,6.5,804.5,4.0,244.7,5.6"
"Hackney,""E09000012"",791.6,4.3,215.7,15.0,728.8,4.1,222.9,7.8,762.7,3.0,219.8,7.6"
"Hammersmith and Fulham,""E09000013"",1088.1,7.5,152.9,20.0,816.5,6.5,246.8,10.0,961.2,5.3,214.2,9.5"
"Haringey,""E09000014"",809.0,5.7,206.4,13.0,661.8,3.7,283.0,8.3,743.2,3.8,259.1,7.1"
"Harrow,""E09000015"",857.7,5.2,176.8,9.8,673.0,5.1,259.4,8.1,780.0,3.9,229.3,6.7"
"Havering,""E09000016"",771.8,3.6,284.4,19.0,624.0,4.5,270.6,9.0,716.4,2.9,274.3,8.3"
"Hillingdon,""E09000017"",697.4,3.2,255.9,18.0,615.6,3.0,250.0,8.4,662.8,2.3,251.9,8.2"
"Hounslow,""E09000018"",855.2,14.0,249.2,16.0,634.5,4.5,239.0,8.3,763.4,9.0,242.0,7.4"
"Islington,""E09000019"",975.4,5.2,256.0,16.0,803.1,4.6,241.2,9.1,893.2,3.6,246.3,8.2"
"Kensington and Chelsea,""E09000020"",1992.4,14.0,""#"",""#"",1045.7,11.0,229.4,18.0,1578.6,11.0,273.1,18.0"
"Kingston upon Thames,""E09000021"",914.3,7.1,""#"",""#"",698.3,4.3,188.3,12.0,827.0,5.0,236.0,14.0"
"Lambeth,""E09000022"",874.6,4.1,261.3,13.0,709.8,2.7,245.5,11.0,794.9,2.7,251.3,8.2"
"Lewisham,""E09000023"",818.6,4.1,186.4,11.0,686.3,3.4,283.5,7.0,754.8,2.8,258.0,6.2"
"Merton,""E09000024"",913.8,4.9,""#"",""#"",738.7,4.6,228.0,8.7,838.9,3.6,234.3,10.0"
"Newham,""E09000025"",677.7,3.4,208.7,6.7,596.5,3.7,200.7,6.8,644.7,2.5,204.3,4.8"
"Redbridge,""E09000026"",862.0,4.2,205.5,18.0,645.8,5.6,249.1,8.2,782.7,3.5,236.6,7.6"
"Richmond upon Thames,""E09000027"",1224.4,7.7,""#"",""#"",797.0,6.2,361.5,12.0,1060.0,5.9,350.9,11.0"
"Southwark,""E09000028"",864.3,4.4,225.5,12.0,762.9,3.5,258.6,9.8,816.7,2.9,247.8,7.8"
"Sutton,""E09000029"",788.9,3.9,178.7,12.0,647.0,4.3,218.5,7.6,730.8,3.0,207.5,6.5"
"Tower Hamlets,""E09000030"",966.1,4.1,213.5,8.8,727.6,3.8,242.1,10.0,866.9,3.1,226.9,6.9"
"Waltham Forest,""E09000031"",759.9,3.6,183.5,9.0,613.3,4.1,248.3,7.6,705.2,2.8,227.5,6.2"
"Wandsworth,""E09000032"",1060.3,4.0,274.6,17.0,832.2,3.5,375.0,12.0,952.3,2.8,340.2,9.8"
"Westminster,""E09000033"",1351.4,9.0,""#"",""#"",931.5,8.6,237.5,13.0,1176.7,6.7,""#"",""#"""
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
