annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Median"""
"pay        :,""Annual pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers  - median_annual"",""Conf %"",""Male Part Time Workers  - median_annual"",""Conf %"",""Female Full Time Workers  - median_annual"",""Conf %"",""Female Part Time Workers  - median_annual"",""Conf %"",""Full Time Workers  - median_annual"",""Conf %"",""Part Time Workers  - median_annual"",""Conf %"""

"Barking and Dagenham,""E09000002"",32177,12.0,""#"",""#"",26533,12.0,7551,15.0,30200,9.6,8062,12.0"
"Barnet,""E09000003"",43624,11.0,""#"",-,33624,9.0,10201,11.0,37340,7.0,10029,18.0"
"Bexley,""E09000004"",38179,11.0,""#"",""#"",30301,7.2,9751,11.0,33453,7.4,9799,11.0"
"Brent,""E09000005"",30858,8.0,10047,18.0,29405,11.0,""#"",""#"",30347,5.7,""#"",""#"""
"Bromley,""E09000006"",43997,7.9,""#"",""#"",35055,7.3,11036,11.0,40184,5.4,11913,10.0"
"Camden,""E09000007"",41969,12.0,""#"",""#"",36237,13.0,""#"",""#"",39537,8.1,10057,17.0"
"City of London,""E09000001"",""#"",-,-,-,""#"",-,-,-,""#"",""#"",-,-"
"Croydon,""E09000008"",36919,5.0,""#"",-,29453,10.0,10687,11.0,33541,5.6,10644,17.0"
"Ealing,""E09000009"",35114,6.8,""#"",-,30061,7.0,""#"",""#"",32929,4.8,""#"",""#"""
"Enfield,""E09000010"",35384,10.0,8986,20.0,27504,7.5,8545,14.0,30920,7.0,8986,9.0"
"Greenwich,""E09000011"",34882,9.7,""#"",""#"",30789,11.0,""#"",""#"",33145,7.0,10120,14.0"
"Hackney,""E09000012"",35967,10.0,""#"",""#"",34188,7.3,""#"",""#"",34816,5.5,""#"",""#"""
"Hammersmith and Fulham,""E09000013"",41152,9.3,""#"",-,37147,19.0,10585,18.0,40092,9.6,8950,18.0"
"Haringey,""E09000014"",""#"",""#"",""#"",""#"",32169,6.9,""#"",""#"",32965,8.2,""#"",""#"""
"Harrow,""E09000015"",37703,8.3,""#"",-,29192,18.0,12112,15.0,34219,8.3,""#"",""#"""
"Havering,""E09000016"",34851,6.4,""#"",""#"",27457,10.0,11469,12.0,32986,4.5,11531,13.0"
"Hillingdon,""E09000017"",32970,6.5,""#"",-,29290,6.1,11128,13.0,31618,4.4,10779,16.0"
"Hounslow,""E09000018"",33770,15.0,""#"",""#"",29369,7.6,""#"",""#"",31792,8.5,10448,20.0"
"Islington,""E09000019"",39704,8.8,""#"",""#"",35602,8.7,""#"",-,37972,5.8,""#"",""#"""
"Kensington and Chelsea,""E09000020"",""#"",""#"",""#"",""#"",37505,14.0,""#"",""#"",""#"",""#"",""#"",-"
"Kingston upon Thames,""E09000021"",40388,11.0,""#"",-,33246,10.0,9079,-,37594,6.1,""#"",-"
"Lambeth,""E09000022"",38507,8.7,""#"",""#"",32028,9.1,9423,16.0,34266,6.6,10370,13.0"
"Lewisham,""E09000023"",35146,6.8,""#"",""#"",31461,7.5,""#"",""#"",34201,4.5,""#"",""#"""
"Merton,""E09000024"",39262,16.0,""#"",""#"",31033,9.9,10380,19.0,35708,10.0,10247,14.0"
"Newham,""E09000025"",31107,6.7,9207,-,26957,8.8,""#"",""#"",29107,4.8,""#"",""#"""
"Redbridge,""E09000026"",37234,9.2,""#"",""#"",28961,8.0,11003,15.0,33201,6.5,10850,10.0"
"Richmond upon Thames,""E09000027"",45600,13.0,""#"",""#"",35636,10.0,""#"",""#"",40818,9.0,""#"",""#"""
"Southwark,""E09000028"",37651,6.9,""#"",""#"",32914,7.1,10497,15.0,35012,5.3,10417,13.0"
"Sutton,""E09000029"",36094,8.1,""#"",""#"",29346,6.8,9786,17.0,32425,5.6,9678,14.0"
"Tower Hamlets,""E09000030"",41978,9.4,""#"",""#"",34472,7.2,10677,17.0,37643,5.5,10413,11.0"
"Waltham Forest,""E09000031"",33871,8.8,""#"",-,27165,8.6,10358,11.0,31419,6.3,""#"",""#"""
"Wandsworth,""E09000032"",45313,19.0,""#"",""#"",35877,10.0,15192,19.0,40123,11.0,13795,16.0"
"Westminster,""E09000033"",""#"",""#"",""#"",""#"",""#"",""#"",""#"",-,43105,15.0,""#"",-"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
