annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Median"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers  - median_hourly"",""Conf %"",""Male Part Time Workers  - median_hourly"",""Conf %"",""Female Full Time Workers  - median_hourly"",""Conf %"",""Female Part Time Workers  - median_hourly"",""Conf %"",""Full Time Workers  - median_hourly"",""Conf %"",""Part Time Workers  - median_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",14.05,7.2,8.64,9.7,13.68,7.3,9.03,5.7,13.94,4.7,8.92,5.2"
"Barnet,""E09000003"",20.41,7.8,9.27,7.0,17.38,6.3,11.86,8.8,18.52,5.5,10.33,5.8"
"Bexley,""E09000004"",17.16,8.1,11.12,16.0,15.68,5.4,10.00,6.5,16.34,4.3,10.21,6.4"
"Brent,""E09000005"",13.76,6.6,8.76,8.1,14.31,7.1,9.53,3.8,13.97,4.9,9.34,3.9"
"Bromley,""E09000006"",21.32,6.3,""#"",""#"",17.09,6.3,10.50,7.8,19.39,5.2,10.74,8.7"
"Camden,""E09000007"",20.75,7.8,""#"",""#"",18.24,6.0,11.68,9.7,19.34,5.2,11.27,11.0"
"City of London,""E09000001"",""#"",""#"",-,-,23.48,-,""!"",""!"",""#"",""#"",""!"",""!"""
"Croydon,""E09000008"",17.16,4.9,9.74,10.0,16.06,4.5,9.75,5.8,16.56,3.4,9.75,5.1"
"Ealing,""E09000009"",14.97,5.3,9.71,11.0,15.30,6.5,10.00,4.9,15.11,4.3,9.89,4.7"
"Enfield,""E09000010"",15.90,6.6,8.30,5.5,14.18,5.6,9.19,6.5,15.14,4.0,8.80,3.8"
"Greenwich,""E09000011"",17.43,5.8,9.61,8.4,15.51,6.8,10.97,12.0,16.93,3.9,10.45,5.7"
"Hackney,""E09000012"",16.78,6.4,9.66,8.8,16.49,6.0,9.69,6.8,16.77,4.2,9.69,5.6"
"Hammersmith and Fulham,""E09000013"",19.81,8.2,""#"",""#"",17.48,6.7,9.94,16.0,18.80,4.1,10.27,16.0"
"Haringey,""E09000014"",16.76,7.4,8.23,7.7,16.60,5.6,11.31,7.6,16.70,4.4,9.99,7.3"
"Harrow,""E09000015"",18.25,7.0,10.02,12.0,15.30,7.1,9.72,6.9,16.77,5.6,9.75,6.3"
"Havering,""E09000016"",16.15,5.8,10.00,20.0,14.83,6.9,10.54,8.5,15.87,3.7,10.12,7.6"
"Hillingdon,""E09000017"",14.79,4.7,10.40,17.0,14.80,5.5,9.87,4.4,14.80,3.8,9.95,4.5"
"Hounslow,""E09000018"",16.24,6.4,9.95,15.0,14.33,6.7,9.80,7.2,15.30,4.5,9.87,5.5"
"Islington,""E09000019"",20.44,5.3,""#"",-,18.05,5.4,10.68,6.8,19.56,3.7,10.46,6.4"
"Kensington and Chelsea,""E09000020"",25.94,19.0,""#"",""#"",20.27,11.0,""#"",""#"",22.84,9.9,13.19,19.0"
"Kingston upon Thames,""E09000021"",18.64,9.1,""#"",""#"",16.76,7.8,10.00,9.0,18.33,5.3,10.00,9.1"
"Lambeth,""E09000022"",18.58,6.3,10.81,12.0,16.53,4.5,9.88,7.7,17.48,3.5,10.21,5.8"
"Lewisham,""E09000023"",17.44,5.3,9.74,8.6,16.14,6.4,11.31,10.0,16.56,4.3,10.48,7.3"
"Merton,""E09000024"",18.62,7.2,9.70,18.0,16.52,7.3,9.65,8.5,17.44,5.1,9.71,8.0"
"Newham,""E09000025"",15.01,5.0,8.50,5.6,13.57,7.0,8.50,5.7,14.70,4.3,8.50,3.6"
"Redbridge,""E09000026"",17.98,6.5,9.57,12.0,14.93,5.6,9.94,9.9,16.66,4.1,9.94,8.5"
"Richmond upon Thames,""E09000027"",21.80,11.0,""#"",""#"",17.06,8.4,17.48,13.0,19.60,7.5,17.55,15.0"
"Southwark,""E09000028"",17.90,6.9,9.49,15.0,17.25,5.2,11.17,8.5,17.50,4.4,10.45,6.2"
"Sutton,""E09000029"",17.49,6.9,9.71,18.0,15.33,6.7,9.97,8.5,16.37,5.1,9.94,6.7"
"Tower Hamlets,""E09000030"",20.93,6.7,8.64,5.5,16.64,6.2,10.22,10.0,19.18,4.2,9.33,5.2"
"Waltham Forest,""E09000031"",16.08,7.3,8.16,7.3,13.66,7.9,9.23,5.4,15.21,5.4,8.90,4.4"
"Wandsworth,""E09000032"",21.58,6.8,12.74,14.0,18.62,5.1,12.01,13.0,20.27,3.8,12.34,11.0"
"Westminster,""E09000033"",23.68,8.0,""#"",""#"",19.13,7.0,10.22,20.0,21.17,6.5,10.03,9.4"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
