annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2017"""
"Item Name  :,""Median"""
"pay        :,""Weekly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers  - median_weekly"",""Conf %"",""Male Part Time Workers  - median_weekly"",""Conf %"",""Female Full Time Workers  - median_weekly"",""Conf %"",""Female Part Time Workers  - median_weekly"",""Conf %"",""Full Time Workers  - median_weekly"",""Conf %"",""Part Time Workers  - median_weekly"",""Conf %"""

"Barking and Dagenham,""E09000002"",629.4,5.7,179.4,18.0,517.2,5.8,152.0,11.0,555.9,5.3,160.3,8.3"
"Barnet,""E09000003"",766.1,7.9,172.2,11.0,618.3,6.3,195.7,8.5,690.0,4.9,187.4,7.7"
"Bexley,""E09000004"",716.3,6.8,206.8,20.0,567.9,5.0,185.4,9.0,624.6,4.8,188.1,7.5"
"Brent,""E09000005"",566.6,4.9,173.7,11.0,545.9,5.4,179.5,9.0,563.5,3.2,179.3,6.9"
"Bromley,""E09000006"",841.2,5.4,""#"",""#"",633.3,6.1,209.8,8.4,737.4,4.5,213.7,8.5"
"Camden,""E09000007"",803.9,7.3,179.8,11.0,667.3,5.9,194.2,20.0,725.5,5.9,188.6,9.7"
"City of London,""E09000001"",""#"",""#"",-,-,903.4,-,""!"",""!"",""#"",""#"",""!"",""!"""
"Croydon,""E09000008"",686.8,4.9,186.5,12.0,581.8,5.2,203.8,9.6,631.0,3.5,197.6,7.5"
"Ealing,""E09000009"",621.6,4.7,179.3,12.0,567.6,5.3,195.4,11.0,597.9,3.6,187.6,8.5"
"Enfield,""E09000010"",657.2,6.7,161.1,9.4,534.8,5.4,167.9,14.0,587.7,4.6,162.8,7.2"
"Greenwich,""E09000011"",668.5,6.7,190.3,16.0,589.7,5.7,219.1,11.0,638.9,3.8,203.1,8.8"
"Hackney,""E09000012"",670.8,4.0,161.1,14.0,632.4,4.7,179.8,13.0,659.8,2.7,169.1,9.9"
"Hammersmith and Fulham,""E09000013"",755.2,6.3,""#"",""#"",653.6,6.8,201.3,14.0,709.8,3.7,164.7,14.0"
"Haringey,""E09000014"",667.9,5.3,157.8,14.0,597.9,5.2,200.1,16.0,624.4,3.7,191.3,8.2"
"Harrow,""E09000015"",714.2,5.7,169.7,19.0,572.4,6.8,202.8,12.0,656.1,5.3,192.9,9.0"
"Havering,""E09000016"",669.2,5.8,173.5,17.0,556.2,6.5,221.1,12.0,631.0,3.7,214.0,11.0"
"Hillingdon,""E09000017"",609.8,5.2,180.2,20.0,536.6,5.6,202.0,9.6,574.9,4.4,200.2,8.1"
"Hounslow,""E09000018"",654.8,5.6,""#"",""#"",537.7,5.7,194.9,9.4,596.5,4.2,186.4,9.5"
"Islington,""E09000019"",766.6,6.1,204.3,18.0,658.1,4.9,188.5,17.0,721.5,3.7,191.4,12.0"
"Kensington and Chelsea,""E09000020"",986.1,17.0,""#"",""#"",789.1,7.9,""#"",""#"",854.8,7.7,""#"",""#"""
"Kingston upon Thames,""E09000021"",734.2,7.0,""#"",""#"",625.3,7.6,""#"",""#"",706.9,5.7,154.7,16.0"
"Lambeth,""E09000022"",716.1,5.7,210.8,15.0,630.2,4.6,175.8,13.0,666.1,3.6,188.2,9.5"
"Lewisham,""E09000023"",676.0,6.2,178.7,13.0,588.9,6.0,216.0,12.0,633.7,3.8,194.3,8.7"
"Merton,""E09000024"",745.1,7.4,166.8,20.0,612.5,6.2,192.9,12.0,675.0,5.9,185.8,9.5"
"Newham,""E09000025"",604.7,3.6,187.8,4.6,535.6,6.4,169.7,7.2,584.9,3.2,179.4,4.2"
"Redbridge,""E09000026"",728.6,6.1,179.4,15.0,558.3,5.2,203.5,10.0,644.9,4.8,189.9,8.3"
"Richmond upon Thames,""E09000027"",847.9,8.9,""#"",""#"",617.4,8.3,""#"",""#"",739.9,6.5,""#"",""#"""
"Southwark,""E09000028"",696.9,5.9,159.3,16.0,639.5,5.7,196.0,8.9,670.1,4.4,188.0,8.0"
"Sutton,""E09000029"",701.2,5.7,153.8,12.0,571.6,5.6,165.5,11.0,639.5,4.5,158.7,8.4"
"Tower Hamlets,""E09000030"",778.7,7.5,179.4,9.7,613.7,5.9,194.4,11.0,710.4,4.1,179.4,8.5"
"Waltham Forest,""E09000031"",638.9,4.9,174.0,10.0,531.5,5.0,207.1,9.1,574.9,4.4,188.1,8.1"
"Wandsworth,""E09000032"",826.1,6.7,187.1,15.0,691.1,4.5,260.3,12.0,757.4,3.2,223.9,11.0"
"Westminster,""E09000033"",889.0,7.5,""#"",""#"",716.7,7.7,""#"",""#"",807.4,5.8,""#"",""#"""
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
