
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2017-Dec 2017"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment working part-time - aged 16-19","Conf","Numerator","Denominator","% in employment working part-time - aged 20-24","Conf","Numerator","Denominator","% in employment working part-time - aged 25-49","Conf","Numerator","Denominator","% in employment working part-time - aged 50+","Conf"

"Barking and Dagenham","E09000002",1300,2000,64.1,"*",2800,9200,30.9,16.5,12900,60000,21.5,5.2,4100,20200,20.1,8.5
"Barnet","E09000003",1900,1900,100.0,-,4200,18300,23.0,"*",20300,118300,17.1,4.9,20200,55100,36.7,8.6
"Bexley","E09000004",1200,2300,50.5,"*","!",10400,"!","!",16200,68900,23.5,5.4,14900,40800,36.4,7.6
"Brent","E09000005",1500,1500,100.0,-,4100,14500,28.2,15.1,19200,98800,19.4,4.7,10000,41400,24.2,7.4
"Bromley","E09000006",2200,4300,52.1,"*",2400,8800,27.4,"*",20900,103300,20.2,5.1,10600,46400,22.9,7.6
"Camden","E09000007","!",1300,"!","!",2500,7000,36.4,"*",14400,82600,17.4,5.2,15600,36600,42.6,9.1
"City of London","E09000001","!","!","!",-,"!","!","!","!","!",2500,"!","!","!",3600,"!","!"
"Croydon","E09000008",2900,3700,78.4,"*",5200,15900,32.4,17.0,17600,112900,15.6,4.5,12800,56800,22.6,6.7
"Ealing","E09000009",1900,2900,66.6,"*",7700,14300,53.8,20.4,22300,104500,21.3,5.8,14200,57100,24.9,8.0
"Enfield","E09000010",2000,2900,69.4,"*",3400,9600,34.9,"*",26000,91300,28.4,6.4,13900,47900,29.1,8.5
"Greenwich","E09000011",4100,4600,90.9,17.0,2200,11400,19.6,"*",17000,92100,18.5,4.9,7900,33400,23.8,8.6
"Hackney","E09000012","!",1200,"!","!",3300,8300,39.4,"*",24200,110500,21.9,5.1,8700,28400,30.7,9.9
"Hammersmith and Fulham","E09000013","!",900,"!","!",2100,4800,43.4,"*",10200,74400,13.7,4.8,6600,23700,27.7,9.2
"Haringey","E09000014",2000,3600,56.1,"*",3700,11500,32.3,16.2,13800,91600,15.1,4.2,9700,27300,35.4,8.6
"Harrow","E09000015",800,1400,60.3,"*",2000,10500,19.1,"*",18000,79500,22.6,5.3,11000,38200,28.8,7.9
"Havering","E09000016",1100,3700,31.3,"*","!",10800,"!","!",11900,74200,16.1,4.8,11900,35700,33.3,8.5
"Hillingdon","E09000017",2700,3600,73.7,"*",2800,11200,25.3,"*",17200,92800,18.5,5.0,12900,42200,30.5,8.3
"Hounslow","E09000018",1800,2200,82.7,"*","!",7700,"!","!",13500,94900,14.2,4.9,6700,31600,21.1,9.2
"Islington","E09000019","#",1000,77.3,"*",2400,8700,27.8,"*",9300,103100,9.0,3.5,5000,25600,19.4,8.3
"Kensington and Chelsea","E09000020","!","!","!","!",700,3200,21.7,"*",6100,51200,12.0,4.8,7100,20700,34.3,9.0
"Kingston upon Thames","E09000021",1400,1900,73.0,"*",1700,7200,24.1,"*",13500,58600,23.0,5.5,7800,22700,34.2,9.3
"Lambeth","E09000022","!",1700,"!","!",2900,15500,19.0,"*",18700,143600,13.0,4.7,12600,39000,32.4,10.6
"Lewisham","E09000023",3500,4200,82.3,"*",5400,18900,28.6,"*",21000,118300,17.8,4.7,7500,33300,22.4,8.3
"Merton","E09000024",2700,3800,70.7,"*",2000,7200,27.2,"*",11500,71100,16.1,5.2,8000,31500,25.4,8.6
"Newham","E09000025",1200,1200,100.0,-,6300,13400,46.9,20.9,22300,127200,17.5,4.9,10200,28100,36.1,11.9
"Redbridge","E09000026",900,900,100.0,-,3100,9800,31.3,"*",18200,93000,19.6,4.6,9800,38900,25.1,7.2
"Richmond upon Thames","E09000027",2300,2300,100.0,-,1500,5900,25.3,"*",10500,59300,17.6,5.2,12300,31700,38.7,8.4
"Southwark","E09000028",2100,2100,100.0,-,5400,18200,29.7,15.6,21200,127800,16.6,4.5,10000,36200,27.7,8.7
"Sutton","E09000029","#",1600,52.8,"*",1500,6000,24.2,"*",12100,69200,17.6,5.0,10500,30000,34.9,8.7
"Tower Hamlets","E09000030","!","!","!","!",8500,18300,46.5,17.0,16500,104000,15.9,4.9,5400,18300,29.5,13.2
"Waltham Forest","E09000031",1000,1800,56.8,"*",2400,16600,14.7,"*",19200,95700,20.0,5.0,8200,31500,26.1,9.3
"Wandsworth","E09000032",2900,3800,77.0,"*","!",9200,"!","!",19400,141100,13.8,4.4,9100,33500,27.1,10.3
"Westminster","E09000033","!","!","!","!",3800,8300,46.5,19.2,11400,78500,14.5,4.9,7000,26300,26.5,9.1
"Column Total","Column Total",50700,71900,70.6,6.4,99500,352300,28.3,3.2,526300,2994600,17.6,0.9,323100,1113500,29.0,1.5


"#","These figures are suppressed as statistically unreliable"

"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

"-","These figures are missing."

