
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2017-Dec 2017"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% with NVQ4+ - aged 16-64","Conf","Numerator","Denominator","% with NVQ3 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ2 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ1 only - aged 16-64","Conf","Numerator","Denominator","% with other qualifications (NVQ) - aged 16-64","Conf","Numerator","Denominator","% with no qualifications (NVQ) - aged 16-64","Conf"

"Barking and Dagenham","E09000002",40100,130600,30.7,6.3,18700,130600,14.3,4.8,22300,130600,17.0,5.1,14600,130600,11.2,4.3,17400,130600,13.4,4.6,16300,130600,12.5,4.5
"Barnet","E09000003",134100,249100,53.8,6.9,29100,249100,11.7,4.4,25600,249100,10.3,4.2,13600,249100,5.5,3.1,32100,249100,12.9,4.6,13600,249100,5.5,3.1
"Bexley","E09000004",58000,156200,37.1,6.5,27000,156200,17.3,5.1,26000,156200,16.7,5.0,22700,156200,14.5,4.7,9000,156200,5.8,3.1,8400,156200,5.3,3.0
"Brent","E09000005",85800,216900,39.6,6.1,33700,216900,15.5,4.5,28100,216900,12.9,4.2,17100,216900,7.9,3.3,33900,216900,15.6,4.5,18100,216900,8.3,3.4
"Bromley","E09000006",95400,203200,46.9,7.1,32300,203200,15.9,5.2,28800,203200,14.2,5.0,17700,203200,8.7,4.0,14500,203200,7.1,3.7,8900,203200,4.4,2.9
"Camden","E09000007",105500,176100,59.9,7.0,20700,176100,11.7,4.6,12400,176100,7.0,3.6,8500,176100,4.8,3.0,10700,176100,6.1,3.4,17600,176100,10.0,4.3
"City of London","E09000001",9700,11100,87.2,29.9,"!",11100,"!","!","!",11100,"!","!","!",11100,"!","!","!",11100,"!","!","!",11100,"!","!"
"Croydon","E09000008",115700,245300,47.2,6.5,37300,245300,15.2,4.6,35100,245300,14.3,4.5,17300,245300,7.0,3.3,22900,245300,9.3,3.8,11600,245300,4.7,2.7
"Ealing","E09000009",111300,225300,49.4,7.6,36400,225300,16.2,5.6,22000,225300,9.8,4.5,17600,225300,7.8,4.1,23000,225300,10.2,4.6,13500,225300,6.0,3.6
"Enfield","E09000010",78100,216300,36.1,6.9,39800,216300,18.4,5.6,30500,216300,14.1,5.0,20700,216300,9.6,4.2,25500,216300,11.8,4.6,19200,216300,8.9,4.1
"Greenwich","E09000011",101300,189300,53.5,6.9,23800,189300,12.6,4.6,24200,189300,12.8,4.6,9500,189300,5.0,3.0,13700,189300,7.3,3.6,13400,189300,7.1,3.6
"Hackney","E09000012",118100,199200,59.3,6.8,18800,199200,9.4,4.1,15800,199200,7.9,3.7,15600,199200,7.8,3.7,14500,199200,7.3,3.6,15900,199200,8.0,3.8
"Hammersmith and Fulham","E09000013",85200,129900,65.6,7.3,12900,129900,9.9,4.6,8500,129900,6.5,3.8,5300,129900,4.1,3.0,12700,129900,9.8,4.6,4900,129900,3.8,2.9
"Haringey","E09000014",102400,189700,54.0,6.1,24800,189700,13.1,4.1,17200,189700,9.0,3.5,9100,189700,4.8,2.6,21000,189700,11.1,3.9,13800,189700,7.3,3.2
"Harrow","E09000015",76200,156100,48.8,7.1,26100,156100,16.7,5.3,19400,156100,12.5,4.7,4700,156100,3.0,2.4,24300,156100,15.6,5.2,4400,156100,2.8,2.4
"Havering","E09000016",47600,158300,30.0,6.4,25400,158300,16.1,5.1,32900,158300,20.8,5.7,24300,158300,15.4,5.1,9400,158300,5.9,3.3,13900,158300,8.8,4.0
"Hillingdon","E09000017",83900,194300,43.2,6.9,24300,194300,12.5,4.6,27700,194300,14.3,4.9,18500,194300,9.5,4.1,17800,194300,9.2,4.0,18700,194300,9.6,4.1
"Hounslow","E09000018",79200,177100,44.7,7.9,26100,177100,14.7,5.6,15600,177100,8.8,4.5,13800,177100,7.8,4.3,27300,177100,15.4,5.7,11200,177100,6.3,3.9
"Islington","E09000019",107600,174400,61.7,6.9,22200,174400,12.7,4.7,14900,174400,8.6,4.0,10900,174400,6.2,3.4,7600,174400,4.4,2.9,9900,174400,5.7,3.3
"Kensington and Chelsea","E09000020",67200,104600,64.2,7.2,10100,104600,9.6,4.5,8200,104600,7.8,4.1,6700,104600,6.4,3.7,6300,104600,6.0,3.6,6000,104600,5.8,3.5
"Kingston upon Thames","E09000021",64800,114800,56.4,7.3,16600,114800,14.4,5.1,14600,114800,12.7,4.9,6000,114800,5.2,3.3,7200,114800,6.2,3.5,4200,114800,3.7,2.8
"Lambeth","E09000022",163200,242900,67.2,7.7,33200,242900,13.7,5.6,11900,242900,4.9,3.5,8500,242900,3.5,3.0,8300,242900,3.4,3.0,14100,242900,5.8,3.8
"Lewisham","E09000023",112100,207400,54.0,7.1,31800,207400,15.4,5.1,21600,207400,10.4,4.4,17800,207400,8.6,4.0,13500,207400,6.5,3.5,6000,207400,2.9,2.4
"Merton","E09000024",76900,135400,56.8,7.9,18900,135400,13.9,5.5,11000,135400,8.1,4.4,9000,135400,6.6,4.0,10600,135400,7.8,4.3,7700,135400,5.7,3.7
