annual population survey
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""variable"""
"Confidence :,""95% confidence interval of percent figure (+/-)"""
"Date       :,""Jan 2018-Dec 2018"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% who are economically inactive - aged 16+"",""Conf"""

"Barking and Dagenham,""E09000002"",56300,156600,36.0,4.0"
"Barnet,""E09000003"",111900,314000,35.6,3.8"
"Bexley,""E09000004"",67400,195100,34.5,3.7"
"Brent,""E09000005"",77100,246300,31.3,3.8"
"Bromley,""E09000006"",89300,261900,34.1,3.8"
"Camden,""E09000007"",72100,215700,33.4,4.0"
"City of London,""E09000001"",""!"",8200,""!"",""!"""
"Croydon,""E09000008"",89200,297000,30.0,3.7"
"Ealing,""E09000009"",90700,274300,33.1,4.6"
"Enfield,""E09000010"",96100,261000,36.8,4.1"
"Greenwich,""E09000011"",74100,226000,32.8,3.9"
"Hackney,""E09000012"",65600,218300,30.0,3.8"
"Hammersmith and Fulham,""E09000013"",39300,144900,27.1,3.9"
"Haringey,""E09000014"",65000,221400,29.4,3.5"
"Harrow,""E09000015"",61500,190800,32.2,3.6"
"Havering,""E09000016"",70800,209300,33.8,3.6"
"Hillingdon,""E09000017"",76400,236200,32.3,3.7"
"Hounslow,""E09000018"",66100,218500,30.3,4.8"
"Islington,""E09000019"",59500,206800,28.8,3.9"
"Kensington and Chelsea,""E09000020"",55200,129000,42.8,4.0"
"Kingston upon Thames,""E09000021"",46400,142900,32.4,3.9"
"Lambeth,""E09000022"",63900,269500,23.7,3.8"
"Lewisham,""E09000023"",61800,239600,25.8,3.7"
"Merton,""E09000024"",46500,168000,27.7,3.9"
"Newham,""E09000025"",86400,268500,32.2,4.3"
"Redbridge,""E09000026"",86300,235700,36.6,3.5"
"Richmond upon Thames,""E09000027"",46700,155000,30.1,4.0"
"Southwark,""E09000028"",58200,256100,22.7,3.4"
"Sutton,""E09000029"",46700,158500,29.5,3.7"
"Tower Hamlets,""E09000030"",67500,246000,27.4,4.3"
"Waltham Forest,""E09000031"",56100,210700,26.6,3.9"
"Wandsworth,""E09000032"",64100,265100,24.2,3.7"
"Westminster,""E09000033"",72700,203000,35.8,4.1"
"Column Total,""Column Total"",2188400,7049800,31.0,0.7"


"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""
