annual population survey
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""variable"""
"Confidence :,""95% confidence interval of percent figure (+/-)"""
"Date       :,""Jan 2018-Dec 2018"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""Unemployment rate - aged 16+"",""Conf"""

"Barking and Dagenham,""E09000002"",4900,100300,4.9,2.3"
"Barnet,""E09000003"",9900,202200,4.9,2.2"
"Bexley,""E09000004"",3900,127700,3.1,1.7"
"Brent,""E09000005"",8300,169200,4.9,2.2"
"Bromley,""E09000006"",9100,172600,5.3,2.2"
"Camden,""E09000007"",5400,143600,3.8,2.0"
"City of London,""E09000001"",""!"",6400,""!"",""!"""
"Croydon,""E09000008"",7000,207800,3.4,1.8"
"Ealing,""E09000009"",12400,183600,6.8,3.1"
"Enfield,""E09000010"",8000,164900,4.8,2.3"
"Greenwich,""E09000011"",9900,151900,6.5,2.6"
"Hackney,""E09000012"",9000,152800,5.9,2.4"
"Hammersmith and Fulham,""E09000013"",5700,105600,5.4,2.5"
"Haringey,""E09000014"",7500,156400,4.8,2.0"
"Harrow,""E09000015"",3500,129300,2.7,1.5"
"Havering,""E09000016"",6600,138400,4.8,2.0"
"Hillingdon,""E09000017"",6700,159800,4.2,2.0"
"Hounslow,""E09000018"",9400,152400,6.2,3.1"
"Islington,""E09000019"",7400,147300,5.0,2.3"
"Kensington and Chelsea,""E09000020"",5800,73800,7.8,3.1"
"Kingston upon Thames,""E09000021"",6700,96600,7.0,2.7"
"Lambeth,""E09000022"",14600,205700,7.1,2.7"
"Lewisham,""E09000023"",7900,177800,4.4,2.0"
"Merton,""E09000024"",4800,121400,3.9,2.0"
"Newham,""E09000025"",10100,182200,5.5,2.7"
"Redbridge,""E09000026"",7800,149400,5.2,2.1"
"Richmond upon Thames,""E09000027"",3500,108300,3.3,1.9"
"Southwark,""E09000028"",12300,198000,6.2,2.3"
"Sutton,""E09000029"",4800,111800,4.3,2.0"
"Tower Hamlets,""E09000030"",10100,178500,5.6,2.7"
"Waltham Forest,""E09000031"",4300,154600,2.8,""*"""
"Wandsworth,""E09000032"",7700,201000,3.8,2.0"
"Westminster,""E09000033"",6600,130300,5.1,2.5"
"Column Total,""Column Total"",241600,4861400,5.0,0.4"


"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"*,""Estimate and confidence interval unreliable since the group sample size is"""
",""small (3-9)"""
