"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - median_hourly"",""Conf %"",""Male Part Time Workers - median_hourly"",""Conf %"",""Female Full Time Workers - median_hourly"",""Conf %"",""Female Part Time Workers - median_hourly"",""Conf %"",""Full Time Workers - median_hourly"",""Conf %"",""Part Time Workers - median_hourly"",""Conf %"""
"Barking and Dagenham,""E09000002"",14.56,6.7,8.67,14.0,13.86,7.5,9.45,4.9,14.30,5.5,9.26,5.0"
"Barnet,""E09000003"",19.21,8.3,9.49,17.0,16.52,5.8,10.35,6.8,17.65,4.9,10.31,6.9"
"Bexley,""E09000004"",17.77,7.6,10.42,19.0,15.05,6.3,10.11,6.6,16.35,5.2,10.19,6.2"
"Brent,""E09000005"",14.68,5.9,8.67,7.7,14.36,6.5,10.00,3.9,14.50,4.6,9.55,4.5"
"Bromley,""E09000006"",21.40,4.8,11.62,18.0,17.96,4.5,11.78,7.9,19.93,4.1,11.70,8.1"
"Camden,""E09000007"",21.97,8.5,10.20,18.0,18.15,7.4,10.49,14.0,20.69,5.7,10.26,9.3"
"City of London,""E09000001"",""#"",""#"",""!"",""!"",17.38,-,""!"",""!"",""#"",""#"",""#"",-"
"Croydon,""E09000008"",17.17,5.5,10.68,7.8,15.60,4.9,10.24,4.5,16.59,3.7,10.26,4.0"
"Ealing,""E09000009"",16.63,7.4,9.95,14.0,15.65,6.0,10.25,5.8,16.10,4.4,10.00,5.2"
"Enfield,""E09000010"",15.05,6.2,7.83,2.9,14.45,6.6,9.90,6.0,14.84,4.6,8.93,3.6"
"Greenwich,""E09000011"",17.75,5.9,10.49,14.0,15.90,6.4,10.15,6.0,17.15,4.2,10.20,5.7"
"Hackney,""E09000012"",17.12,6.9,9.42,8.6,16.88,5.6,9.90,7.0,17.04,4.5,9.73,4.8"
"Hammersmith and Fulham,""E09000013"",20.77,5.1,""#"",""#"",18.16,7.7,10.01,15.0,19.86,4.2,10.01,8.7"
"Haringey,""E09000014"",18.01,6.2,9.02,9.2,16.07,7.9,10.22,8.1,17.42,4.7,9.97,5.7"
"Harrow,""E09000015"",18.32,7.2,9.14,8.6,16.24,6.3,11.00,9.4,16.97,5.2,10.17,6.2"
"Havering,""E09000016"",17.42,6.4,9.26,8.0,15.92,6.5,10.94,6.8,16.89,5.1,10.25,4.7"
"Hillingdon,""E09000017"",15.87,4.8,10.24,8.5,15.21,5.2,10.34,5.0,15.60,3.6,10.31,4.2"
"Hounslow,""E09000018"",16.64,6.8,9.55,9.2,14.31,6.5,9.74,4.3,15.72,4.5,9.70,3.8"
"Islington,""E09000019"",21.39,7.7,""#"",""#"",20.17,7.4,12.06,11.0,20.71,5.3,11.94,9.9"
"Kensington and Chelsea,""E09000020"",""#"",""#"",""#"",""#"",22.23,12.0,""#"",""#"",22.98,11.0,11.76,19.0"
"Kingston upon Thames,""E09000021"",21.60,12.0,""#"",""#"",18.17,6.9,10.27,8.6,19.91,4.5,10.14,6.8"
"Lambeth,""E09000022"",18.94,6.4,10.05,12.0,17.62,4.4,9.76,4.6,18.30,4.1,9.91,4.9"
"Lewisham,""E09000023"",16.87,5.9,10.17,13.0,15.40,6.0,10.58,10.0,16.49,4.3,10.40,6.7"
"Merton,""E09000024"",19.17,6.7,8.98,11.0,17.86,6.4,10.02,9.1,18.12,5.1,9.74,5.6"
"Newham,""E09000025"",15.35,4.6,8.98,6.7,13.08,7.8,9.26,4.1,14.78,4.7,9.19,3.8"
"Redbridge,""E09000026"",17.82,6.1,9.55,9.8,14.98,6.0,9.78,6.2,16.59,4.8,9.75,5.4"
"Richmond upon Thames,""E09000027"",24.64,8.5,""#"",""#"",17.37,7.4,14.41,14.0,20.84,6.9,14.52,14.0"
"Southwark,""E09000028"",18.71,6.5,10.00,13.0,17.28,4.1,10.98,5.5,17.86,3.6,10.46,5.3"
"Sutton,""E09000029"",17.89,7.5,10.75,18.0,15.73,6.6,10.28,6.4,17.13,5.1,10.52,5.6"
"Tower Hamlets,""E09000030"",20.71,6.2,8.84,7.1,17.94,5.7,10.00,7.7,19.36,4.7,9.55,4.5"
"Waltham Forest,""E09000031"",16.63,6.5,9.14,13.0,14.99,7.5,10.03,6.8,15.87,4.8,9.91,4.0"
"Wandsworth,""E09000032"",22.66,8.7,11.28,19.0,19.81,4.3,11.79,10.0,21.36,4.3,11.41,11.0"
"Westminster,""E09000033"",23.62,11.0,9.52,19.0,21.54,7.1,10.31,12.0,22.39,5.9,10.26,9.9"
