"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% of all people aged 16+ who are male"",""Conf"",""Numerator"",""Denominator"",""% of all people aged 16+ who are female"",""Conf"""
"Barking and Dagenham,""E09000002"",74400,156600,47.5,4.2,82100,156600,52.5,4.2"
"Barnet,""E09000003"",152500,314000,48.5,4.0,161600,314000,51.5,4.0"
"Bexley,""E09000004"",94000,195100,48.2,3.9,101100,195100,51.8,3.9"
"Brent,""E09000005"",127100,246300,51.6,4.1,119200,246300,48.4,4.1"
"Bromley,""E09000006"",121500,261900,46.4,4.0,140300,261900,53.6,4.0"
"Camden,""E09000007"",106800,215700,49.5,4.3,109000,215700,50.5,4.3"
"City of London,""E09000001"",5000,8200,61.5,""*"",3200,8200,38.5,""*"""
"Croydon,""E09000008"",141300,297000,47.6,4.0,155700,297000,52.4,4.0"
"Ealing,""E09000009"",138400,274300,50.5,4.9,135800,274300,49.5,4.9"
"Enfield,""E09000010"",125600,261000,48.1,4.2,135400,261000,51.9,4.2"
"Greenwich,""E09000011"",114000,226000,50.5,4.2,111900,226000,49.5,4.2"
"Hackney,""E09000012"",108700,218300,49.8,4.2,109700,218300,50.2,4.2"
"Hammersmith and Fulham,""E09000013"",72100,144900,49.7,4.4,72800,144900,50.3,4.4"
"Haringey,""E09000014"",110900,221400,50.1,3.9,110500,221400,49.9,3.9"
"Harrow,""E09000015"",96200,190800,50.4,3.8,94600,190800,49.6,3.8"
"Havering,""E09000016"",99800,209300,47.7,3.9,109500,209300,52.3,3.9"
"Hillingdon,""E09000017"",116600,236200,49.4,3.9,119600,236200,50.6,3.9"
"Hounslow,""E09000018"",109600,218500,50.2,5.2,108900,218500,49.8,5.2"
"Islington,""E09000019"",104500,206800,50.6,4.3,102200,206800,49.4,4.3"
"Kensington and Chelsea,""E09000020"",64800,129000,50.2,4.1,64300,129000,49.8,4.1"
"Kingston upon Thames,""E09000021"",70600,142900,49.4,4.2,72300,142900,50.6,4.2"
"Lambeth,""E09000022"",133700,269500,49.6,4.5,135800,269500,50.4,4.5"
"Lewisham,""E09000023"",118100,239600,49.3,4.2,121500,239600,50.7,4.2"
"Merton,""E09000024"",81700,168000,48.6,4.4,86200,168000,51.4,4.4"
"Newham,""E09000025"",146500,268500,54.6,4.6,122000,268500,45.4,4.6"
"Redbridge,""E09000026"",117900,235700,50.0,3.7,117700,235700,50.0,3.7"
"Richmond upon Thames,""E09000027"",75200,155000,48.5,4.3,79800,155000,51.5,4.3"
"Southwark,""E09000028"",128100,256100,50.0,4.1,128000,256100,50.0,4.1"
"Sutton,""E09000029"",76700,158500,48.4,4.1,81700,158500,51.6,4.1"
"Tower Hamlets,""E09000030"",128900,246000,52.4,4.8,117000,246000,47.6,4.8"
"Waltham Forest,""E09000031"",106000,210700,50.3,4.4,104700,210700,49.7,4.4"
"Wandsworth,""E09000032"",124500,265100,47.0,4.3,140600,265100,53.0,4.3"
"Westminster,""E09000033"",104500,203000,51.5,4.3,98500,203000,48.5,4.3"
