
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 27 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2019-Dec 2019"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% who are economically inactive - aged 16+","Conf"

"Barking and Dagenham","E09000002",56700,161200,35.2,4.3
"Barnet","E09000003",102800,318300,32.3,4.1
"Bexley","E09000004",71200,199600,35.7,3.7
"Brent","E09000005",85200,261500,32.6,4.7
"Bromley","E09000006",87200,261700,33.3,3.7
"Camden","E09000007",76700,220700,34.8,4.2
"City of London","E09000001","!",12300,"!","!"
"Croydon","E09000008",96400,302200,31.9,3.7
"Ealing","E09000009",84300,257900,32.7,4.7
"Enfield","E09000010",100300,263100,38.1,4.5
"Greenwich","E09000011",66400,227500,29.2,3.7
"Hackney","E09000012",64700,222500,29.1,3.9
"Hammersmith and Fulham","E09000013",43000,145100,29.7,4.3
"Haringey","E09000014",61100,220900,27.7,3.9
"Harrow","E09000015",83600,202500,41.3,4.6
"Havering","E09000016",74900,208300,36.0,3.7
"Hillingdon","E09000017",78500,234300,33.5,4.4
"Hounslow","E09000018",74700,215900,34.6,5.1
"Islington","E09000019",54200,201500,26.9,3.9
"Kensington and Chelsea","E09000020",49500,125800,39.4,4.2
"Kingston upon Thames","E09000021",44500,143500,31.0,4.0
"Lambeth","E09000022",62200,269500,23.1,3.7
"Lewisham","E09000023",59800,242900,24.6,3.6
"Merton","E09000024",46400,166200,27.9,3.6
"Newham","E09000025",85100,276800,30.7,4.3
"Redbridge","E09000026",83600,238400,35.1,3.8
"Richmond upon Thames","E09000027",45400,155200,29.3,4.1
"Southwark","E09000028",65900,258800,25.5,3.8
"Sutton","E09000029",47000,160500,29.3,3.5
"Tower Hamlets","E09000030",77300,254600,30.4,4.2
"Waltham Forest","E09000031",58400,213300,27.4,4.4
"Wandsworth","E09000032",62100,269300,23.1,3.9
"Westminster","E09000033",70200,203700,34.5,4.5
"Column Total","Column Total",2221600,7115200,31.2,0.7


"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

