annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 27 July 2023]
"Analysis   :,""standard"""
"Date       :,""2019"""
"Item Name  :,""Median"""
"pay        :,""Weekly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - median_weekly"",""Conf %"",""Male Part Time Workers - median_weekly"",""Conf %"",""Female Full Time Workers - median_weekly"",""Conf %"",""Female Part Time Workers - median_weekly"",""Conf %"",""Full Time Workers - median_weekly"",""Conf %"",""Part Time Workers - median_weekly"",""Conf %"""

"Barking and Dagenham,""E09000002"",638.2,4.7,191.8,13.0,537.7,8.0,194.5,9.5,589.8,3.9,194.4,7.8"
"Barnet,""E09000003"",750.4,6.9,202.1,9.2,633.0,5.0,204.2,11.0,677.5,4.8,203.7,7.8"
"Bexley,""E09000004"",730.0,5.6,""#"",""#"",613.2,5.8,195.8,9.4,671.0,4.2,209.2,8.9"
"Brent,""E09000005"",642.4,4.7,196.4,12.0,577.2,4.1,202.8,8.2,609.6,3.5,200.8,6.5"
"Bromley,""E09000006"",858.3,5.6,175.8,17.0,711.7,6.2,224.3,7.3,785.3,4.3,210.6,6.8"
"Camden,""E09000007"",844.0,9.6,""#"",""#"",762.1,8.2,""#"",""#"",795.4,6.0,167.0,17.0"
"City of London,""E09000001"",""#"",-,""!"",""!"",741.3,-,""!"",""!"",""#"",""#"",""#"",""#"""
"Croydon,""E09000008"",714.8,5.2,165.4,12.0,649.9,4.0,196.8,7.7,671.4,2.9,189.1,6.7"
"Ealing,""E09000009"",650.9,5.4,184.5,16.0,575.1,6.3,188.4,10.0,622.4,3.9,188.4,7.7"
"Enfield,""E09000010"",666.0,7.1,168.4,8.6,594.8,6.8,197.6,9.1,638.9,4.9,186.0,4.9"
"Greenwich,""E09000011"",708.2,6.3,193.0,11.0,662.0,6.3,214.3,11.0,679.6,3.9,205.2,8.9"
"Hackney,""E09000012"",736.3,6.1,174.6,9.6,674.4,4.4,173.8,16.0,709.2,3.5,174.2,7.4"
"Hammersmith and Fulham,""E09000013"",849.9,5.7,228.8,20.0,718.5,6.5,""#"",""#"",795.3,3.9,208.3,18.0"
"Haringey,""E09000014"",676.9,5.4,187.3,12.0,657.3,6.7,197.4,12.0,670.8,3.2,196.4,8.4"
"Harrow,""E09000015"",734.2,4.6,""#"",""#"",612.2,5.9,223.3,10.0,693.5,4.1,228.5,7.4"
"Havering,""E09000016"",715.9,6.8,165.1,18.0,578.5,5.7,200.2,12.0,650.4,4.2,189.0,10.0"
"Hillingdon,""E09000017"",689.5,6.1,183.4,16.0,574.9,5.4,218.0,9.4,621.7,4.0,210.6,8.0"
"Hounslow,""E09000018"",698.0,5.5,""#"",""#"",592.6,6.0,208.4,9.6,658.8,3.9,187.4,8.7"
"Islington,""E09000019"",859.0,6.0,""#"",""#"",728.3,7.4,249.1,11.0,801.0,4.9,252.4,11.0"
"Kensington and Chelsea,""E09000020"",""#"",""#"",""#"",""#"",818.0,8.8,""#"",""#"",901.3,11.0,219.2,14.0"
"Kingston upon Thames,""E09000021"",827.1,7.6,""#"",""#"",647.1,6.9,165.7,19.0,742.8,5.5,""#"",""#"""
"Lambeth,""E09000022"",746.8,5.3,221.6,15.0,689.9,3.3,200.1,10.0,714.4,2.7,206.5,9.3"
"Lewisham,""E09000023"",707.5,8.0,171.8,16.0,598.1,5.5,196.3,12.0,654.1,4.2,189.4,9.9"
"Merton,""E09000024"",765.1,8.4,""#"",""#"",690.2,8.0,245.9,14.0,710.4,6.6,210.3,13.0"
"Newham,""E09000025"",670.7,4.8,208.2,6.9,571.4,5.5,210.9,7.9,622.8,3.8,210.5,5.2"
"Redbridge,""E09000026"",752.1,7.3,190.8,9.2,587.4,7.8,216.5,10.0,683.9,4.8,209.4,7.0"
"Richmond upon Thames,""E09000027"",980.0,8.6,""#"",""#"",693.3,6.3,252.6,16.0,820.3,5.7,240.8,17.0"
"Southwark,""E09000028"",737.1,6.0,215.4,18.0,695.4,5.2,195.5,8.5,709.1,3.7,198.4,7.7"
"Sutton,""E09000029"",722.4,6.0,233.4,18.0,580.3,7.7,226.0,9.0,668.6,4.8,230.4,7.4"
"Tower Hamlets,""E09000030"",804.8,5.8,186.2,9.1,741.5,5.1,182.0,9.4,780.4,4.2,184.6,5.7"
"Waltham Forest,""E09000031"",719.0,5.9,168.0,11.0,649.9,5.7,196.8,8.4,680.3,4.1,188.5,6.3"
"Wandsworth,""E09000032"",862.4,7.4,""#"",""#"",766.6,4.7,212.6,12.0,811.8,3.8,199.2,12.0"
"Westminster,""E09000033"",886.6,6.0,""#"",""#"",721.6,8.8,213.5,16.0,812.8,6.6,210.4,12.0"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
