
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 27 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2019-Dec 2019"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment who are employees - aged 16+","Conf","Numerator","Denominator","% in employment who are self employed - aged 16+","Conf"

"Barking and Dagenham","E09000002",82000,98400,83.3,4.3,16400,98400,16.7,4.3
"Barnet","E09000003",161100,203600,79.1,4.5,39600,203600,19.5,4.4
"Bexley","E09000004",99100,122300,81.0,4.0,22800,122300,18.6,3.9
"Brent","E09000005",126400,165400,76.4,5.6,38500,165400,23.3,5.6
"Bromley","E09000006",141700,171300,82.7,3.7,29300,171300,17.1,3.7
"Camden","E09000007",106400,135900,78.3,4.8,29200,135900,21.5,4.8
"City of London","E09000001",7400,10100,73.0,"*","#",10100,27.0,"*"
"Croydon","E09000008",168600,198500,85.0,3.5,27000,198500,13.6,3.4
"Ealing","E09000009",136000,165800,82.0,5.0,28400,165800,17.1,4.9
"Enfield","E09000010",121200,151000,80.2,4.9,28100,151000,18.6,4.8
"Greenwich","E09000011",125000,153700,81.3,3.9,28700,153700,18.7,3.9
"Hackney","E09000012",124500,150800,82.6,4.1,25400,150800,16.8,4.1
"Hammersmith and Fulham","E09000013",81800,98300,83.3,4.5,15700,98300,16.0,4.4
"Haringey","E09000014",111800,155400,71.9,4.8,42100,155400,27.1,4.8
"Harrow","E09000015",90200,112800,79.9,5.1,22200,112800,19.6,5.1
"Havering","E09000016",112400,126700,88.7,3.2,14300,126700,11.3,3.2
"Hillingdon","E09000017",131600,148200,88.8,3.8,16100,148200,10.9,3.8
"Hounslow","E09000018",114000,135900,83.8,5.1,22000,135900,16.2,5.1
"Islington","E09000019",117400,141100,83.2,4.1,23500,141100,16.7,4.1
"Kensington and Chelsea","E09000020",50100,72100,69.4,5.6,19700,72100,27.4,5.4
"Kingston upon Thames","E09000021",81700,96200,84.9,3.9,13900,96200,14.5,3.8
"Lambeth","E09000022",162100,194900,83.2,3.9,31200,194900,16.0,3.8
"Lewisham","E09000023",147600,174300,84.7,3.6,26200,174300,15.0,3.6
"Merton","E09000024",89900,114400,78.6,4.1,23600,114400,20.6,4.0
"Newham","E09000025",145600,182400,79.8,4.8,36200,182400,19.9,4.8
"Redbridge","E09000026",110300,148800,74.1,4.5,38100,148800,25.6,4.5
"Richmond upon Thames","E09000027",85800,108600,79.0,4.4,21900,108600,20.2,4.4
"Southwark","E09000028",147500,184900,79.8,4.1,37000,184900,20.0,4.1
"Sutton","E09000029",86700,107000,81.1,3.7,20000,107000,18.7,3.7
"Tower Hamlets","E09000030",142800,170200,83.9,4.3,26600,170200,15.6,4.3
"Waltham Forest","E09000031",115400,144800,79.7,4.8,28900,144800,20.0,4.8
"Wandsworth","E09000032",157900,198100,79.7,4.4,38400,198100,19.4,4.3
"Westminster","E09000033",98500,127000,77.5,5.2,28300,127000,22.3,5.1
"Column Total","Column Total",3780600,4669200,81.0,0.8,862200,4669200,18.5,0.8


"#","These figures are suppressed as statistically unreliable"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

