
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 27 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2019-Dec 2019"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% of all people aged 16+ who are male","Conf","Numerator","Denominator","% of all people aged 16+ who are female","Conf"

"Barking and Dagenham","E09000002",77400,161200,48.0,4.5,83700,161200,52.0,4.5
"Barnet","E09000003",153900,318300,48.3,4.4,164400,318300,51.7,4.4
"Bexley","E09000004",96700,199600,48.5,3.9,102800,199600,51.5,3.9
"Brent","E09000005",134800,261500,51.6,5.0,126700,261500,48.4,5.0
"Bromley","E09000006",122000,261700,46.6,3.9,139800,261700,53.4,3.9
"Camden","E09000007",113300,220700,51.3,4.4,107400,220700,48.7,4.4
"City of London","E09000001",6600,12300,53.6,"*",5700,12300,46.4,"*"
"Croydon","E09000008",144800,302200,47.9,4.0,157400,302200,52.1,4.0
"Ealing","E09000009",130500,257900,50.6,5.0,127400,257900,49.4,5.0
"Enfield","E09000010",128200,263100,48.7,4.6,134900,263100,51.3,4.6
"Greenwich","E09000011",113900,227500,50.1,4.1,113600,227500,49.9,4.1
"Hackney","E09000012",110200,222500,49.5,4.3,112300,222500,50.5,4.3
"Hammersmith and Fulham","E09000013",73700,145100,50.8,4.7,71300,145100,49.2,4.7
"Haringey","E09000014",111500,220900,50.5,4.3,109400,220900,49.5,4.3
"Harrow","E09000015",99700,202500,49.3,4.7,102700,202500,50.7,4.7
"Havering","E09000016",99300,208300,47.7,3.9,109000,208300,52.3,3.9
"Hillingdon","E09000017",118000,234300,50.4,4.7,116200,234300,49.6,4.7
"Hounslow","E09000018",109600,215900,50.8,5.3,106300,215900,49.2,5.3
"Islington","E09000019",100700,201500,50.0,4.4,100800,201500,50.0,4.4
"Kensington and Chelsea","E09000020",63300,125800,50.3,4.3,62500,125800,49.7,4.3
"Kingston upon Thames","E09000021",70900,143500,49.4,4.3,72700,143500,50.6,4.3
"Lambeth","E09000022",137700,269500,51.1,4.3,131800,269500,48.9,4.3
"Lewisham","E09000023",119700,242900,49.3,4.2,123100,242900,50.7,4.2
"Merton","E09000024",80700,166200,48.6,4.0,85500,166200,51.4,4.0
"Newham","E09000025",149300,276800,53.9,4.7,127500,276800,46.1,4.7
"Redbridge","E09000026",120200,238400,50.4,4.0,118100,238400,49.6,4.0
"Richmond upon Thames","E09000027",75400,155200,48.6,4.5,79800,155200,51.4,4.5
"Southwark","E09000028",128800,258800,49.8,4.3,130000,258800,50.2,4.3
"Sutton","E09000029",76200,160500,47.5,3.9,84300,160500,52.5,3.9
"Tower Hamlets","E09000030",133200,254600,52.3,4.6,121300,254600,47.7,4.6
"Waltham Forest","E09000031",105700,213300,49.6,4.9,107600,213300,50.4,4.9
"Wandsworth","E09000032",123400,269300,45.8,4.6,145900,269300,54.2,4.6
"Westminster","E09000033",103900,203700,51.0,4.7,99800,203700,49.0,4.7
"Column Total","Column Total",3533400,7115200,49.7,0.8,3581800,7115200,50.3,0.8


"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

