Feature Identifier,Feature Name,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = b. Income Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = c. Employment Deprivation Domain; Reference period = 2019; measure type = Score,"English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = d. Education, Skills and Training Domain; Reference period = 2019; measure type = Score",English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = e. Health Deprivation and Disability Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = g. Barriers to Housing and Services Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = h. Living Environment Deprivation Domain; Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = i. Income Deprivation Affecting Children Index (IDACI); Reference period = 2019; measure type = Score,English Indices of Deprivation 2019 - LSOA Level: Indices of Deprivation = j. Income Deprivation Affecting Older People Index (IDAOPI); Reference period = 2019; measure type = Score
http://opendatacommunities.org/id/geography/administration/lsoa/E01000001,City of London 001A,0.007,0.01,0.024,-1.654,29.472,31.873,0.006,0.012
http://opendatacommunities.org/id/geography/administration/lsoa/E01000002,City of London 001B,0.034,0.027,0.063,-1.115,24.412,23.084,0.037,0.03
http://opendatacommunities.org/id/geography/administration/lsoa/E01000003,City of London 001C,0.086,0.086,5.804,-0.102,40.103,40.535,0.052,0.128
http://opendatacommunities.org/id/geography/administration/lsoa/E01000005,City of London 001E,0.211,0.136,22.26,-0.121,39.9,28.979,0.209,0.322
http://opendatacommunities.org/id/geography/administration/lsoa/E01000006,Barking and Dagenham 016A,0.117,0.059,14.798,-0.359,45.171,26.888,0.155,0.162
http://opendatacommunities.org/id/geography/administration/lsoa/E01000007,Barking and Dagenham 015A,0.207,0.107,11.385,-0.027,50.42,25.995,0.253,0.371
http://opendatacommunities.org/id/geography/administration/lsoa/E01000008,Barking and Dagenham 015B,0.265,0.151,25.506,0.25,45.413,30.233,0.298,0.468
http://opendatacommunities.org/id/geography/administration/lsoa/E01000009,Barking and Dagenham 016B,0.187,0.109,15.713,0.454,48.119,28.601,0.194,0.383
http://opendatacommunities.org/id/geography/administration/lsoa/E01000010,Barking and Dagenham 015C,0.169,0.073,11.762,-0.002,50.58,47.932,0.22,0.519
http://opendatacommunities.org/id/geography/administration/lsoa/E01000011,Barking and Dagenham 016C,0.167,0.081,22.519,-0.137,52.948,39.857,0.189,0.362
http://opendatacommunities.org/id/geography/administration/lsoa/E01000012,Barking and Dagenham 015D,0.239,0.096,19.774,-0.056,56.507,36.881,0.299,0.331
http://opendatacommunities.org/id/geography/administration/lsoa/E01000013,Barking and Dagenham 013A,0.213,0.145,24.003,0.67,45.252,30.424,0.243,0.265
http://opendatacommunities.org/id/geography/administration/lsoa/E01000014,Barking and Dagenham 013B,0.201,0.135,31.501,0.35,46.135,25.122,0.203,0.28
http://opendatacommunities.org/id/geography/administration/lsoa/E01000015,Barking and Dagenham 009A,0.216,0.123,26.013,0.025,50.4,25.696,0.25,0.31
http://opendatacommunities.org/id/geography/administration/lsoa/E01000016,Barking and Dagenham 009B,0.199,0.122,28.996,0.373,43.772,24.95,0.251,0.267
http://opendatacommunities.org/id/geography/administration/lsoa/E01000017,Barking and Dagenham 009C,0.25,0.169,22.899,0.694,45.929,27.688,0.318,0.293
http://opendatacommunities.org/id/geography/administration/lsoa/E01000018,Barking and Dagenham 009D,0.212,0.136,26.358,0.273,43.512,25.659,0.284,0.236
http://opendatacommunities.org/id/geography/administration/lsoa/E01000019,Barking and Dagenham 023A,0.194,0.138,26.111,0.477,41.248,26.826,0.196,0.289
http://opendatacommunities.org/id/geography/administration/lsoa/E01000020,Barking and Dagenham 023B,0.216,0.131,24.184,0.76,43.518,30.078,0.231,0.338
http://opendatacommunities.org/id/geography/administration/lsoa/E01000021,Barking and Dagenham 008A,0.23,0.136,31.637,0.418,45.544,44.214,0.291,0.352
http://opendatacommunities.org/id/geography/administration/lsoa/E01000022,Barking and Dagenham 008B,0.195,0.139,27.111,0.427,44.277,30.435,0.248,0.231
http://opendatacommunities.org/id/geography/administration/lsoa/E01000023,Barking and Dagenham 008C,0.228,0.108,22.994,0.033,45.846,39.968,0.322,0.321
http://opendatacommunities.org/id/geography/administration/lsoa/E01000024,Barking and Dagenham 008D,0.155,0.1,29.298,0.263,45.704,29.869,0.156,0.269
http://opendatacommunities.org/id/geography/administration/lsoa/E01000025,Barking and Dagenham 008E,0.219,0.138,25.691,0.395,47.029,28.042,0.278,0.286
http://opendatacommunities.org/id/geography/administration/lsoa/E01000027,Barking and Dagenham 001A,0.216,0.146,38.122,0.148,44.976,20.329,0.276,0.231
http://opendatacommunities.org/id/geography/administration/lsoa/E01000028,Barking and Dagenham 001B,0.26,0.155,27.699,1.138,48.625,16.282,0.269,0.431
http://opendatacommunities.org/id/geography/administration/lsoa/E01000029,Barking and Dagenham 001C,0.113,0.075,17.349,-0.28,47.51,21.974,0.126,0.145
http://opendatacommunities.org/id/geography/administration/lsoa/E01000030,Barking and Dagenham 001D,0.264,0.162,38.753,0.016,44.592,20.993,0.344,0.253
http://opendatacommunities.org/id/geography/administration/lsoa/E01000031,Barking and Dagenham 002A,0.126,0.075,12.953,0.046,34.14,27.703,0.168,0.197
http://opendatacommunities.org/id/geography/administration/lsoa/E01000032,Barking and Dagenham 002B,0.146,0.106,23.035,0.095,39.922,38.369,0.169,0.191
http://opendatacommunities.org/id/geography/administration/lsoa/E01000033,Barking and Dagenham 006A,0.257,0.136,32.037,0.278,55.686,21.763,0.345,0.252
http://opendatacommunities.org/id/geography/administration/lsoa/E01000034,Barking and Dagenham 003A,0.216,0.147,33.858,0.661,45.083,18.01,0.249,0.313
http://opendatacommunities.org/id/geography/administration/lsoa/E01000035,Barking and Dagenham 010A,0.15,0.092,25.536,0.397,39.025,23.071,0.221,0.189
http://opendatacommunities.org/id/geography/administration/lsoa/E01000036,Barking and Dagenham 010B,0.112,0.073,15.969,-0.185,31.724,27.612,0.169,0.116
http://opendatacommunities.org/id/geography/administration/lsoa/E01000037,Barking and Dagenham 003B,0.096,0.101,20.288,-0.504,29.715,19.057,0.128,0.107
http://opendatacommunities.org/id/geography/administration/lsoa/E01000038,Barking and Dagenham 003C,0.127,0.079,18.702,-0.103,27.945,27.001,0.204,0.164
http://opendatacommunities.org/id/geography/administration/lsoa/E01000039,Barking and Dagenham 003D,0.127,0.074,19.753,0.173,42.779,17.527,0.165,0.196
http://opendatacommunities.org/id/geography/administration/lsoa/E01000040,Barking and Dagenham 019A,0.218,0.123,31.332,0.155,45.801,29.323,0.262,0.317
http://opendatacommunities.org/id/geography/administration/lsoa/E01000041,Barking and Dagenham 017A,0.172,0.105,33.867,0.349,48.606,33.127,0.198,0.225
http://opendatacommunities.org/id/geography/administration/lsoa/E01000042,Barking and Dagenham 017B,0.263,0.164,31.45,0.526,57.015,24.75,0.286,0.365
http://opendatacommunities.org/id/geography/administration/lsoa/E01000043,Barking and Dagenham 019B,0.147,0.085,28.946,0.044,42.921,33.853,0.165,0.247
http://opendatacommunities.org/id/geography/administration/lsoa/E01000044,Barking and Dagenham 016D,0.133,0.079,22.263,-0.41,42.638,44.13,0.171,0.178
http://opendatacommunities.org/id/geography/administration/lsoa/E01000045,Barking and Dagenham 017C,0.188,0.125,24.013,0.279,44.514,35.245,0.217,0.267
http://opendatacommunities.org/id/geography/administration/lsoa/E01000046,Barking and Dagenham 017D,0.17,0.111,28.185,0.222,45.338,30.26,0.208,0.249
http://opendatacommunities.org/id/geography/administration/lsoa/E01000048,Barking and Dagenham 021B,0.341,0.182,26.49,0.495,49.012,20.578,0.389,0.517
http://opendatacommunities.org/id/geography/administration/lsoa/E01000049,Barking and Dagenham 021C,0.29,0.143,27.852,0.409,55.298,26.588,0.335,0.393
http://opendatacommunities.org/id/geography/administration/lsoa/E01000050,Barking and Dagenham 019C,0.176,0.114,22.642,0.61,48.003,36.588,0.152,0.325
http://opendatacommunities.org/id/geography/administration/lsoa/E01000051,Barking and Dagenham 021D,0.234,0.13,28.197,0.391,45.996,27.521,0.322,0.309
http://opendatacommunities.org/id/geography/administration/lsoa/E01000052,Barking and Dagenham 019D,0.188,0.111,27.403,-0.153,51.774,38.532,0.212,0.294
http://opendatacommunities.org/id/geography/administration/lsoa/E01000053,Barking and Dagenham 020A,0.229,0.126,27.703,0.701,49.479,26.503,0.279,0.331
http://opendatacommunities.org/id/geography/administration/lsoa/E01000054,Barking and Dagenham 018A,0.18,0.096,26.697,0.198,42.507,31.481,0.244,0.222
http://opendatacommunities.org/id/geography/administration/lsoa/E01000055,Barking and Dagenham 018B,0.211,0.114,27.143,0.126,43.185,29.369,0.295,0.277
http://opendatacommunities.org/id/geography/administration/lsoa/E01000056,Barking and Dagenham 018C,0.197,0.144,25.304,0.455,51.736,23.506,0.225,0.245
http://opendatacommunities.org/id/geography/administration/lsoa/E01000057,Barking and Dagenham 012A,0.196,0.118,31.462,0.097,43.725,30.046,0.254,0.212
http://opendatacommunities.org/id/geography/administration/lsoa/E01000058,Barking and Dagenham 018D,0.199,0.117,25.845,0.147,46.251,27.809,0.25,0.32
http://opendatacommunities.org/id/geography/administration/lsoa/E01000059,Barking and Dagenham 013C,0.176,0.129,28.14,0.136,45.241,32.699,0.194,0.256
http://opendatacommunities.org/id/geography/administration/lsoa/E01000060,Barking and Dagenham 006B,0.202,0.129,25.54,0.282,48.53,24.729,0.244,0.265
http://opendatacommunities.org/id/geography/administration/lsoa/E01000061,Barking and Dagenham 006C,0.303,0.186,39.776,1.013,49.627,15.967,0.359,0.47
http://opendatacommunities.org/id/geography/administration/lsoa/E01000062,Barking and Dagenham 006D,0.143,0.088,30.73,-0.143,45.088,20.153,0.181,0.208
http://opendatacommunities.org/id/geography/administration/lsoa/E01000063,Barking and Dagenham 004A,0.181,0.124,37.624,0.286,41.886,35.452,0.217,0.2
http://opendatacommunities.org/id/geography/administration/lsoa/E01000064,Barking and Dagenham 006E,0.208,0.13,24.438,0.39,50.054,34.175,0.257,0.236
http://opendatacommunities.org/id/geography/administration/lsoa/E01000065,Barking and Dagenham 007A,0.228,0.173,26.185,0.817,47.453,29.31,0.245,0.311
http://opendatacommunities.org/id/geography/administration/lsoa/E01000066,Barking and Dagenham 011A,0.147,0.097,18.294,0.054,50.656,17.916,0.143,0.263
http://opendatacommunities.org/id/geography/administration/lsoa/E01000067,Barking and Dagenham 011B,0.132,0.066,15.99,-0.388,42.456,21.711,0.162,0.242
http://opendatacommunities.org/id/geography/administration/lsoa/E01000068,Barking and Dagenham 016E,0.123,0.075,16.187,0.167,41.502,31.382,0.128,0.261
http://opendatacommunities.org/id/geography/administration/lsoa/E01000069,Barking and Dagenham 011C,0.087,0.07,16.481,-0.626,31.781,28.36,0.089,0.182
