Feature Identifier,Feature Name,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = b. Income Deprivation Domain; Reference period = 2019; measure type = Average Score,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = c. Employment Deprivation Domain; Reference period = 2019; measure type = Average Score,"English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = d. Education, Skills and Training Domain; Reference period = 2019; measure type = Average Score",English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = e. Health Deprivation and Disability Domain; Reference period = 2019; measure type = Average Score,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = g. Barriers to Housing and Services Domain; Reference period = 2019; measure type = Average Score,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = h. Living Environment Deprivation Domain; Reference period = 2019; measure type = Average Score,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = i. Income Deprivation Affecting Children Index (IDACI); Reference period = 2019; measure type = Average Score,English Indices of Deprivation 2019 - Summaries at Local Authority Level: Indices of Deprivation = j. Income Deprivation Affecting Older People Index (IDAOPI); Reference period = 2019; measure type = Average Score
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London,0.065,0.052,5.457,-0.686,35.656,38.972,0.071,0.083
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham,0.194,0.117,25.513,0.204,46.252,29.103,0.238,0.261
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet,0.111,0.073,7.83,-1.074,31.211,24.662,0.126,0.163
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley,0.106,0.077,18.331,-0.561,25.879,19.754,0.16,0.109
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent,0.155,0.097,15.223,-0.453,42.783,28.694,0.182,0.258
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley,0.091,0.068,10.551,-0.908,27.839,18.37,0.131,0.101
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden,0.141,0.091,10.523,-0.556,21.611,33.469,0.193,0.232
http://opendatacommunities.org/id/geography/administration/lonb/E09000008,Croydon,0.136,0.092,15.577,-0.174,33.996,26.027,0.185,0.156
http://opendatacommunities.org/id/geography/administration/lonb/E09000009,Ealing,0.14,0.091,12.546,-0.326,36.52,30.34,0.166,0.223
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield,0.171,0.102,20.255,-0.535,39.666,27.479,0.225,0.21
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich,0.159,0.102,15.639,-0.021,32.314,24.635,0.212,0.234
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney,0.196,0.114,14.972,0.371,42.745,36.053,0.249,0.407
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham,0.142,0.094,8.141,-0.05,28.264,35.009,0.186,0.256
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey,0.17,0.106,17.6,-0.128,35.08,34.361,0.208,0.299
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow,0.109,0.067,8.044,-1.04,33.882,18.953,0.123,0.173
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering,0.108,0.078,22.594,-0.538,22.713,16.749,0.16,0.117
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon,0.114,0.075,16.402,-0.379,29.628,20.298,0.157,0.145
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow,0.129,0.079,13.287,-0.27,35.101,29.818,0.17,0.197
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington,0.179,0.111,12.483,0.274,28.204,35.373,0.275,0.336
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea,0.117,0.08,5.192,-1.243,36.056,42.014,0.129,0.199
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames,0.078,0.053,6.938,-0.963,24.744,24.718,0.1,0.117
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth,0.153,0.093,10.493,0.148,28.43,44.402,0.229,0.302
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham,0.164,0.104,13.911,0.067,34.751,36.405,0.229,0.24
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton,0.1,0.064,9.184,-0.615,22.234,29.557,0.134,0.151
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham,0.169,0.093,17.775,-0.03,49.306,32.471,0.201,0.373
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge,0.121,0.072,11.126,-0.74,27.979,25.177,0.137,0.195
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames,0.064,0.05,3.534,-1.373,17.494,26.621,0.07,0.094
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark,0.162,0.097,11.086,0.112,32.727,35.982,0.241,0.312
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton,0.095,0.07,11.953,-0.57,22.792,21.317,0.126,0.114
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,Tower Hamlets,0.192,0.1,16.934,0.195,30.491,33.213,0.266,0.439
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,Waltham Forest,0.152,0.093,16.968,-0.161,36.465,34.303,0.192,0.228
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,Wandsworth,0.107,0.064,6.649,-0.388,26.981,32.499,0.154,0.21
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,Westminster,0.135,0.088,8.535,-0.855,23.114,40.92,0.183,0.226
