bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"River Street , Clerkenwell",-0.10997,51.529163,13,6,19,9,4,1
"Phillimore Gardens, Kensington",-0.197574,51.499606,33,4,37,33,0,2
"Christopher Street, Liverpool Street",-0.084605,51.521283,0,32,32,0,0,3
"St. Chad's Street, King's Cross",-0.120973,51.530059,8,15,23,8,0,4
"Sedding Street, Sloane Square",-0.156876,51.49313,3,24,27,3,0,5
"Broadcasting House, Marylebone",-0.144228,51.518117,1,17,18,1,0,6
"Charlbert Street, St. John's Wood",-0.168074,51.5343,14,2,16,14,0,7
"Maida Vale, Maida Vale",-0.183486,51.529857,39,0,39,36,3,8
"New Globe Walk, Bankside",-0.09644,51.507385,4,15,19,4,0,9
"Park Street, Bankside",-0.092754,51.505974,5,13,18,5,0,10
"Brunswick Square, Bloomsbury",-0.122502,51.523951,3,21,24,3,0,11
"Malet Street, Bloomsbury",-0.130431,51.52168,18,31,49,18,0,12
"Scala Street, Fitzrovia",-0.136039,51.519914,1,20,21,1,0,13
"Belgrove Street , King's Cross",-0.123616,51.529943,31,17,48,31,0,14
"Great Russell Street, Bloomsbury",-0.127854,51.517727,0,26,26,0,0,15
"Cartwright Gardens , Bloomsbury",-0.125979,51.526357,3,18,21,2,1,16
"Hatton Wall, Holborn",-0.109006,51.521661,3,23,26,3,0,17
"Drury Lane, Covent Garden",-0.122219,51.51477,0,27,27,0,0,18
"Taviton Street, Bloomsbury",-0.131161,51.52505,2,28,30,0,2,19
"Drummond Street , Euston",-0.136052,51.527326,21,7,28,20,1,20
"Lansdowne Drive, Hackney Central",-0.062806,51.539834,11,15,26,9,2,21
"Northington Street , Holborn",-0.114079,51.522264,0,19,19,0,0,22
"Red Lion Square, Holborn",-0.119123,51.519435,0,16,16,0,0,23
"British Museum, Bloomsbury",-0.124678,51.51908,1,34,35,1,0,24
"Doric Way , Somers Town",-0.13225,51.528833,47,3,50,47,0,25
"Ampton Street , Clerkenwell",-0.118295,51.52728,7,14,21,7,0,26
"Bouverie Street, Temple",-0.107927,51.513821,1,32,33,0,1,27
"Bolsover Street, Fitzrovia",-0.143613,51.523518,2,17,19,1,1,28
"Hereford Road, Bayswater",-0.193487,51.513735,22,0,22,21,1,29
"Windsor Terrace, Hoxton",-0.093421,51.529154,11,13,24,11,0,30
"Fanshaw Street, Hoxton",-0.083353,51.529537,33,3,36,32,1,31
"Leonard Circus , Shoreditch",-0.084439,51.524696,2,41,43,2,0,32
"Central House, Aldgate",-0.07015,51.515231,3,15,18,3,0,33
"Pancras Road, King's Cross",-0.129386,51.534123,3,13,16,3,0,34
"De Vere Gardens, Kensington",-0.18498,51.501737,9,19,28,8,1,36
"Penywern Road, Earl's Court",-0.192369,51.491593,17,0,17,15,2,37
"Abingdon Villas, Kensington",-0.197245,51.497387,9,8,17,8,1,38
"Shoreditch High Street, Shoreditch",-0.07813,51.526377,24,17,41,23,1,39
"Commercial Street, Shoreditch",-0.075578,51.52127,1,15,16,1,0,40
"Pindar Street, Liverpool Street",-0.083493,51.520955,0,24,24,0,0,41
"Wenlock Road , Hoxton",-0.093903,51.530991,17,11,28,17,0,42
"Crawford Street, Marylebone",-0.157183,51.52026,4,14,18,4,0,43
"Bruton Street, Mayfair",-0.144165,51.510736,0,21,21,0,0,44
"Boston Place, Marylebone",-0.162298,51.522511,25,1,26,25,0,45
"Nesham Street, Wapping",-0.06691,51.507131,14,2,16,14,0,46
"Warwick Avenue Station, Maida Vale",-0.183846,51.523344,15,4,19,12,3,47
"Godliman Street, St. Paul's",-0.099141,51.512484,1,24,25,1,0,48
"Curzon Street, Mayfair",-0.145904,51.507069,0,16,16,0,0,49
"East Road, Hoxton",-0.087459,51.528673,6,21,27,6,0,50
"Finsbury Library , Finsbury",-0.104298,51.526717,6,23,29,6,0,51
"Roscoe Street, St. Luke's",-0.094934,51.522954,0,18,18,0,0,52
"Grafton Street, Mayfair",-0.143495,51.509992,0,18,18,0,0,53
"Golden Lane, Barbican",-0.094475,51.521747,2,25,27,2,0,54
"Finsbury Circus, Liverpool Street",-0.086685,51.517075,1,32,33,0,1,55
"Paddington Street, Marylebone",-0.154701,51.520583,1,15,16,1,0,56
"Guilford Street , Bloomsbury",-0.120202,51.523346,7,25,32,7,0,57
"New Inn Yard, Shoreditch",-0.079248,51.524526,1,19,20,1,0,58
"Lisson Grove, St. John's Wood",-0.17219,51.526448,4,14,18,4,0,60
"Great Dover Street, The Borough",-0.089446,51.497382,33,0,33,33,0,61
"Cotton Garden Estate, Kennington",-0.106323,51.490757,21,3,24,21,0,62
"Murray Grove , Hoxton",-0.089782,51.53089,21,6,27,18,3,63
"William IV Street, Strand",-0.124749,51.509462,1,25,26,0,1,64
"Gower Place , Euston",-0.135188,51.525227,1,16,17,1,0,65
"Holborn Circus, Holborn",-0.108657,51.51795,5,35,40,4,1,66
"Hatton Garden, Holborn",-0.108028,51.518825,1,27,28,1,0,67
"Theobald's Road , Holborn",-0.116688,51.520596,1,25,26,1,0,68
"Euston Road, Euston",-0.134407,51.526236,17,7,24,17,0,69
"Calshot Street , King's Cross",-0.117069,51.53136,11,13,24,10,1,70
"Newgate Street , St. Paul's",-0.09885,51.515418,3,31,34,3,0,71
"Farringdon Lane, Clerkenwell",-0.10834,51.52352,3,13,16,3,0,72
"Old Street Station, St. Luke's",-0.089659,51.52548,0,29,29,0,0,73
"Vauxhall Cross, Vauxhall",-0.124469,51.485917,6,11,17,5,1,74
