borough_name,borough_code,Male Full Time Workers  - mean_annual,Male Part Time Workers  - mean_annual,Female Full Time Workers - mean_annual,Female Part Time Workers - mean_annual,Total  - mean_annual,Full Time Workers  - mean_annual,Part Time Workers  - mean_annual
Camden,E09000007,78238.0,12817.0,53007,16649.0,55701.0,67456.0,14918.0
City of London,E09000001,,,44070,,,,10686.0
Hackney,E09000012,50253.0,,40820,11979.0,36493.0,45929.0,12705.0
Hammersmith and Fulham,E09000013,69547.0,10739.0,45773,15470.0,51795.0,59058.0,13841.0
Islington,E09000019,63828.0,17918.0,52782,16621.0,51351.0,58688.0,17145.0
Kensington and Chelsea,E09000020,,,52487,13720.0,92675.0,110010.0,16003.0
Lambeth,E09000022,52281.0,16934.0,38202,12706.0,39986.0,46035.0,14205.0
Newham,E09000025,38763.0,14718.0,31500,12356.0,30081.0,35776.0,13345.0
Southwark,E09000028,54175.0,,42149,13642.0,42639.0,48717.0,13851.0
Tower Hamlets,E09000030,63639.0,,50217,10785.0,50651.0,58151.0,12296.0
Wandsworth,E09000032,72998.0,11374.0,51429,13982.0,55523.0,62371.0,13224.0
Westminster,E09000033,,,72399,,68934.0,80301.0,
