borough_name,borough_code,Male Full Time Workers - mean_hourly,Male Part Time Workers - mean_hourly,Female Full Time Workers - mean_hourly,Female Part Time Workers - mean_hourly,Total - mean_hourly,Full Time Workers - mean_hourly,Part Time Workers - mean_hourly
Camden,E09000007,29.99,16.26,24.06,16.75,26.26,27.43,16.56
City of London,E09000001,,,21.38,,26.24,24.95,
Hackney,E09000012,22.92,14.04,20.29,13.96,20.65,21.74,13.99
Hammersmith and Fulham,E09000013,29.87,16.93,21.66,15.57,25.47,26.16,16.02
Islington,E09000019,27.58,19.11,24.5,16.28,25.25,26.11,17.37
Kensington and Chelsea,E09000020,49.02,,25.4,13.89,37.09,39.49,16.67
Lambeth,E09000022,23.56,16.22,19.89,13.98,21.19,21.94,14.82
Newham,E09000025,18.55,11.93,17.0,12.13,17.02,17.92,12.05
Southwark,E09000028,24.35,14.51,21.11,14.31,21.99,22.85,14.36
Tower Hamlets,E09000030,27.15,12.89,23.69,13.76,24.74,25.74,13.36
Wandsworth,E09000032,28.3,15.75,24.05,17.24,25.54,26.22,16.83
Westminster,E09000033,29.56,,26.73,13.62,27.29,28.33,17.11
