date,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
2019-01-01,865636.1043,297180.8891,528638.9614,338707.822,479105.7131,440623.5669,867808.2909,365096.0603,483335.7786,395616.1766,385702.913,527573.462,722045.0931,545523.9026,453365.4908,367018.9841,413405.0796,397052.1735,635328.0826,1285330.7,482032.3621,501860.8511,402342.9102,512341.0444,358029.4577,420809.5166,655055.8372,500163.8442,374144.6399,434143.1947,435182.1059,587609.0333,959408.3438
2019-02-01,894519.909,293838.6476,523678.5865,339186.1492,478494.2101,439716.3247,864013.6218,364405.5423,476647.5977,397254.1728,391920.6904,532412.0593,716796.3589,544944.9653,454375.2032,364615.1018,413658.0973,390471.1003,627072.2867,1259857.8,475365.0536,495661.1662,398589.1843,520035.4982,363433.3843,411354.6502,656018.0265,489116.8776,374347.7252,427633.6537,436448.9917,579893.0364,917867.8673
2019-03-01,853451.0753,294064.7625,516531.2233,336679.6447,475429.6451,435996.2994,808859.9893,367440.2781,467017.2121,393925.7137,385654.5896,554701.4709,716606.4475,536737.0619,445148.1895,359738.3791,409663.0356,393244.8678,628267.9748,1218616.659,474572.3893,497632.2203,401465.4803,505346.6629,366829.9779,405219.3902,646355.5212,489970.8262,371933.8862,429001.1543,429354.7439,572644.5224,956110.9832
2019-04-01,738796.7242,295498.2169,512343.3437,339330.1231,486252.778,431643.364,820812.0189,363627.4384,461457.9551,393880.4735,381586.241,570455.933,713757.5911,529601.1438,446824.9526,358876.943,404953.3298,394788.368,620328.3023,1264888.871,474631.1003,499235.7682,400734.3199,501459.2863,366957.2935,402053.0455,639470.4059,486307.6607,368212.2656,433631.5913,432173.9751,578173.4928,993115.1859
2019-05-01,719217.5584,295092.0921,503911.1858,336980.5882,481803.4178,428092.8974,838678.634,364097.3147,465752.3855,388590.8834,380293.0935,560534.0617,716331.1173,541876.8241,443287.9049,361268.857,401052.9345,396766.6707,626491.8343,1233812.291,472574.215,495444.6891,403909.8747,487640.9573,368549.5513,401902.1726,636736.7909,497044.0698,369566.0377,428669.713,424654.5603,579367.9833,1021532.538
2019-06-01,761525.8718,293889.3093,512694.0604,339323.7005,474820.9106,430001.8857,871957.4503,363420.0875,474844.3044,390707.6753,388251.5205,546343.6011,713137.331,540625.7211,447719.3861,365336.0161,395982.4275,399686.7903,625315.322,1291763.476,484675.6874,503721.1835,405009.209,498683.4153,359952.9523,408513.5851,652859.3286,494784.2522,371680.1027,428704.9816,421957.5805,574832.6167,995107.6487
2019-07-01,756407.0179,297426.4427,514667.7638,338346.4036,473849.0416,434256.6273,890288.4056,365874.7819,475591.7986,388053.4705,397827.8924,555778.5255,725253.0946,550392.6408,446095.264,367679.0664,398547.4882,397246.2003,629281.0539,1275437.229,502894.7646,510045.0835,410983.0527,504701.5314,359105.5388,414967.5533,657618.6192,499662.822,373534.2105,431289.7426,418743.455,585174.1556,948506.6832
2019-08-01,813769.5901,299421.2615,528576.6123,337522.5984,488784.3601,442189.465,863170.6139,364540.2452,474627.2689,393032.6376,396857.8503,567269.4703,729659.3915,544193.7543,450373.4248,367502.2747,397385.2302,401911.2435,643334.6721,1248525.496,508405.2112,519955.5995,416884.6214,517489.4996,361920.3425,421318.6299,657973.7414,496717.553,368908.3512,441364.1416,427415.7542,592250.949,905951.0674
2019-09-01,810454.644,304778.0465,526669.7755,333339.9516,501532.5994,441057.5009,838169.607,365225.8121,473161.8767,386806.0139,403729.7053,573269.6528,735537.6071,553639.841,453155.2371,366447.1575,403944.6276,406930.3564,655061.216,1230181.192,504866.8934,520403.1266,420341.2689,515391.0386,368687.252,414268.4761,648146.89,507466.4349,372899.0408,447628.8328,432270.2879,605559.313,922686.7566
2019-10-01,826227.062,304579.0648,525678.4213,332919.6691,494770.2634,439178.3963,804713.1225,364412.8327,477369.1395,392720.5377,401558.9893,566979.163,719932.4,554122.7305,453783.398,367101.7811,403300.2883,413132.2719,645211.9178,1190436.646,488211.357,515947.1945,421257.5062,509006.4346,369971.9093,411874.3367,643768.8467,513615.3866,369917.0379,452039.7471,434920.7924,600642.1217,927734.9425
2019-11-01,772324.8186,304514.9851,530343.0902,333170.1454,435980.5494,436680.2513,833740.318,368137.2954,472582.527,392572.6259,406344.6302,555036.3252,704862.3604,554981.0604,450924.3205,365246.4908,407117.086,409668.343,627326.4898,1171530.405,490722.9949,516850.5649,413106.3748,497752.931,363377.905,411038.1829,648043.9992,509102.6987,375328.5973,450983.8035,437274.3331,601392.6295,950463.4216
2019-12-01,757730.1653,299771.2428,522552.0582,338347.0579,425957.8076,438397.3308,814591.1638,371862.8595,469056.7913,398928.1678,399620.5048,548845.6801,714044.3288,556925.0535,447112.5388,364994.8361,404318.708,411967.6971,640978.9678,1226692.524,488979.2669,521027.9588,413585.4381,495924.6865,361100.0994,420295.0345,651268.8396,508491.8377,373450.0314,454358.353,439622.618,604416.4883,973497.8689
