datetime,temp,feelslike,dew,humidity,precip,windgust,windspeed,cloudcover,visibility,uvindex
2016-01-01T00:00:00,5.1,2.6,2.5,83.33,0.398,,11,78.5,30.1,0
2016-01-01T01:00:00,4.1,2.3,2.3,88.09,0,,7.5,0,15.3,0
2016-01-01T02:00:00,3.5,2.1,2.1,90.57,0,,5.8,0,13.3,0
2016-01-01T03:00:00,3.1,3.1,2.1,93.16,0,,3.9,0,5.2,0
2016-01-01T04:00:00,3.1,1.7,2.3,94.49,0,,5.9,99.1,12.5,0
2016-01-01T05:00:00,2.6,2.6,1.6,93.14,0,,3.3,9.8,9.7,0
2016-01-01T06:00:00,2.6,1.3,1.8,94.46,3.199,,5.2,7.4,11.7,0
2016-01-01T07:00:00,2.8,2.8,1.8,93.15,0,,4.6,48.9,10.7,0
2016-01-01T08:00:00,3.1,1.7,1.6,89.9,0,,5.7,54,14.1,0
2016-01-01T09:00:00,4.1,2.3,1.3,82.04,0,,7.4,54,18.2,0
2016-01-01T10:00:00,5,2.4,1.1,75.43,0,,11.5,62.3,23.6,1
2016-01-01T11:00:00,5.8,2.8,1.2,71.87,0,,14.9,42.5,23.6,1
2016-01-01T12:00:00,7,4.1,3.2,76.29,0,,16.4,65.9,28.7,1
2016-01-01T13:00:00,7.6,4.6,3.2,73.23,0,48.2,18.4,65.9,30.7,0
2016-01-01T14:00:00,7.8,4.5,3.6,74.31,0,,21.5,91.9,26.4,0
2016-01-01T15:00:00,8.1,5.1,4.9,79.74,0,,19.3,96.3,18.8,0
2016-01-01T16:00:00,7.8,4.7,6.2,89.03,0,,19.7,98.2,17.9,0
2016-01-01T17:00:00,8.1,5,6.1,87.24,0,,20.9,92.8,19.3,0
2016-01-01T18:00:00,8.1,4.7,6,86.63,0.203,,23.3,81.7,18.5,0
2016-01-01T19:00:00,8.3,4.9,5.7,83.15,0,,24.4,89.1,19.8,0
2016-01-01T20:00:00,8.3,4.9,5.7,83.14,0,46.4,24.6,89.1,23.9,0
2016-01-01T21:00:00,8.6,5.2,5.6,80.9,0,,24.7,87.2,22.9,0
